Date,Account,Status
09/02/2022 06:53:49,,Jarvee 3.3.1.1 is now active
09/02/2022 06:59:32,,Jarvee 3.3.1.1 is now active
09/02/2022 07:13:07,,Jarvee 3.3.1.1 is now active
09/02/2022 10:03:32,,Jarvee 3.3.1.1 is now active
09/03/2022 00:58:03,,Jarvee 3.3.1.1 is now active
09/03/2022 05:21:11,,Jarvee 3.3.1.1 is now active
09/06/2022 23:48:23,,Jarvee 3.3.1.1 is now active
09/07/2022 00:01:25,,Jarvee 3.3.1.1 is now active
09/07/2022 01:13:21,,Jarvee 3.3.1.1 is now active
09/07/2022 01:15:33,,Jarvee 3.3.1.1 is now active
09/07/2022 03:44:09,,Jarvee 3.3.1.1 is now active
09/07/2022 06:35:28,,Jarvee 3.3.1.1 is now active
09/08/2022 04:15:17,,Jarvee 3.3.1.1 is now active
09/12/2022 04:45:35,,Jarvee 3.3.1.1 is now active
09/12/2022 04:46:50,,Jarvee 3.3.1.1 is now active
09/12/2022 05:03:42,,Jarvee 3.3.1.1 is now active
09/13/2022 04:29:49,,Jarvee 3.3.1.1 is now active
09/14/2022 03:31:22,,Jarvee 3.3.1.1 is now active
09/14/2022 15:57:12,,Jarvee 3.3.1.1 is now active
09/20/2022 00:57:59,,Jarvee 3.3.1.1 is now active
11/12/2022 02:49:57,,Jarvee 3.3.1.1 is now active
11/12/2022 02:54:57,Leo_Malaysia90,Change language to English - 'Leo_Malaysia90' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/12/2022 02:57:59,Leo_Malaysia90,Change language to English - Error executing for the 'Leo_Malaysia90' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
11/12/2022 02:58:02,Leo_Malaysia90,Synchronizing Groups for the 'Leo_Malaysia90' account.
11/12/2022 03:01:04,Leo_Malaysia90,https://www.facebook.com/groups/?category=groups
11/12/2022 03:01:06,Leo_Malaysia78,Change language to English - 'Leo_Malaysia78' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/12/2022 03:04:08,Leo_Malaysia78,Change language to English - Error executing for the 'Leo_Malaysia78' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
11/12/2022 03:04:11,Leo_Malaysia78,Birthday Sync - for the 'Leo_Malaysia78' account URL: https://www.facebook.com/me
11/12/2022 03:05:09,Leo_Malaysia78,Birthday Sync - Error executing for the 'Leo_Malaysia78' account. : code  0  - The embedded browser got stuck during operations. URL: https://www.facebook.com/me
11/12/2022 03:05:12,Leo_Malaysia78,Checking restrictions for the 'Leo_Malaysia78' account
11/12/2022 03:05:33,Leo_Malaysia78,Checking restrictions - Error executing for the 'Leo_Malaysia78' account. : code  0  - The embedded browser got stuck during operations. URL: https://www.facebook.com/support/
11/12/2022 03:05:36,Leo_Malaysia78,Synchronizing Number of Followers for the 'Leo_Malaysia78' account
11/12/2022 03:05:54,Leo_Malaysia85,Synchronizing Pages for the 'Leo_Malaysia85' account.
11/12/2022 03:05:54,Leo_Malaysia94,Synchronizing Number of Followers for the 'Leo_Malaysia94' account
11/12/2022 03:05:54,Leo_Malaysia97,Synchronizing Number of Followers for the 'Leo_Malaysia97' account
11/12/2022 03:06:09,Leo_Malaysia78,Finalized Number of Followers synchronization for the 'Leo_Malaysia78' account.
11/12/2022 03:06:09,Leo_Malaysia78,Synchronizing Pages for the 'Leo_Malaysia78' account.
11/12/2022 03:06:37,Leo_Malaysia97,Finalized Number of Followers synchronization for the 'Leo_Malaysia97' account.
11/12/2022 03:06:37,Leo_Malaysia94,Finalized Number of Followers synchronization for the 'Leo_Malaysia94' account.
