Date,Account,Status
07/31/2022 23:44:50,,Jarvee 3.3.1.1 is now active
08/01/2022 00:13:34,,Jarvee 3.3.1.1 is now active
08/01/2022 09:24:26,,Jarvee 3.3.1.1 is now active
09/20/2022 08:50:53,,Jarvee 3.3.1.1 is now active
09/20/2022 10:29:50,,Jarvee 3.3.1.1 is now active
11/12/2022 07:12:35,,Jarvee 3.3.1.1 is now active
11/12/2022 07:24:21,Jane_Malaysia66,Synchronizing Number of Followers for the 'Jane_Malaysia66' account
11/12/2022 07:24:22,Jane_Malaysia45,Synchronizing Number of Followers for the 'Jane_Malaysia45' account
11/12/2022 07:24:22,Jane_Malaysia2,Synchronizing Pages for the 'Jane_Malaysia2' account.
11/12/2022 07:24:22,Jane_Malaysia65,Synchronizing Number of Followers for the 'Jane_Malaysia65' account
11/12/2022 07:24:22,Jane_Malaysia26,Synchronizing Number of Followers for the 'Jane_Malaysia26' account
11/12/2022 07:24:27,Jane_Malaysia4,Cookies successfully imported for 'Jane_Malaysia4'.
11/12/2022 07:24:39,Jane_Malaysia37,Cookies successfully imported for 'Jane_Malaysia37'.
11/12/2022 07:24:51,Jane_Malaysia19,Cookies successfully imported for 'Jane_Malaysia19'.
11/12/2022 07:24:52,Jane_Malaysia26,Error synchronizing Number of Followers for the 'Jane_Malaysia26' account. : code  3  - Not logged in Facebook. URL: https://www.facebook.com/me
11/12/2022 07:24:53,Jane_Malaysia45,Error synchronizing Number of Followers for the 'Jane_Malaysia45' account. : code  3  - Not logged in Facebook. URL: https://www.facebook.com/me
11/12/2022 07:24:53,Jane_Malaysia66,Error synchronizing Number of Followers for the 'Jane_Malaysia66' account. : code  3  - Not logged in Facebook. URL: https://www.facebook.com/me
11/12/2022 07:24:54,Jane_Malaysia65,Finalized Number of Followers synchronization for the 'Jane_Malaysia65' account.
11/12/2022 07:24:55,Jane_Malaysia65,Synchronizing Pages for the 'Jane_Malaysia65' account.
11/12/2022 07:25:01,Jane_Malaysia68,Cookies successfully imported for 'Jane_Malaysia68'.
11/12/2022 07:25:12,Jane_Malaysia61,Cookies successfully imported for 'Jane_Malaysia61'.
11/12/2022 07:25:22,Jane_Malaysia3,Cookies successfully imported for 'Jane_Malaysia3'.
11/12/2022 07:25:32,Jane_Malaysia8,Cookies successfully imported for 'Jane_Malaysia8'.
11/12/2022 07:25:33,Jane_Malaysia2,Finalized pages synchronization for the 'Jane_Malaysia2' account.
11/12/2022 07:25:42,Jane_Malaysia43,Cookies successfully imported for 'Jane_Malaysia43'.
