Date,Account,Status
09/25/2022 01:08:47,,Jarvee 3.3.1.1 is now active
11/12/2022 08:20:02,,Jarvee 3.3.1.1 is now active
11/12/2022 08:37:39,Will_Malaysia_631,Comment&Like - 'Will_Malaysia_631' is active
11/12/2022 08:37:42,Will_Malaysia_631,Comment&Like - 'Will_Malaysia_631' - Liking by using https://www.facebook.com/groups/627810285725361
11/12/2022 08:37:54,Will_Malaysia_632,Comment&Like - 'Will_Malaysia_632' is active
11/12/2022 08:37:54,Will_Malaysia_633,Comment&Like - 'Will_Malaysia_633' is active
11/12/2022 08:37:54,Will_Malaysia_634,Comment&Like - 'Will_Malaysia_634' is active
11/12/2022 08:37:54,Will_Malaysia_635,Comment&Like - 'Will_Malaysia_635' is active
11/12/2022 08:37:54,Will_Malaysia_636,Comment&Like - 'Will_Malaysia_636' is active
11/12/2022 08:37:54,Will_Malaysia_637,Comment&Like - 'Will_Malaysia_637' is active
11/12/2022 08:37:54,Will_Malaysia_638,Comment&Like - 'Will_Malaysia_638' is active
11/12/2022 08:37:54,Will_Malaysia_639,Comment&Like - 'Will_Malaysia_639' is active
11/12/2022 08:37:54,Will_Malaysia_640,Comment&Like - 'Will_Malaysia_640' is active
11/12/2022 08:37:54,Will_Malaysia_641,Comment&Like - 'Will_Malaysia_641' is active
11/12/2022 08:37:54,Will_Malaysia_642,Comment&Like - 'Will_Malaysia_642' is active
11/12/2022 08:37:54,Will_Malaysia_643,Comment&Like - 'Will_Malaysia_643' is active
11/12/2022 08:37:54,Will_Malaysia_644,Comment&Like - 'Will_Malaysia_644' is active
11/12/2022 08:37:54,Will_Malaysia_645,Comment&Like - 'Will_Malaysia_645' is active
11/12/2022 08:37:54,Will_Malaysia_646,Comment&Like - 'Will_Malaysia_646' is active
11/12/2022 08:37:54,Will_Malaysia_647,Comment&Like - 'Will_Malaysia_647' is active
11/12/2022 08:37:54,Will_Malaysia_648,Comment&Like - 'Will_Malaysia_648' is active
11/12/2022 08:37:54,Will_Malaysia_649,Comment&Like - 'Will_Malaysia_649' is active
11/12/2022 08:37:54,Will_Malaysia_650,Comment&Like - 'Will_Malaysia_650' is active
11/12/2022 08:37:54,Will_Malaysia_651,Comment&Like - 'Will_Malaysia_651' is active
11/12/2022 08:37:54,Will_Malaysia_652,Comment&Like - 'Will_Malaysia_652' is active
11/12/2022 08:37:54,Will_Malaysia_653,Comment&Like - 'Will_Malaysia_653' is active
11/12/2022 08:37:54,Will_Malaysia_654,Comment&Like - 'Will_Malaysia_654' is active
11/12/2022 08:37:54,Will_Malaysia_655,Comment&Like - 'Will_Malaysia_655' is active
11/12/2022 08:37:54,Will_Malaysia_656,Comment&Like - 'Will_Malaysia_656' is active
11/12/2022 08:37:54,Will_Malaysia_657,Comment&Like - 'Will_Malaysia_657' is active
11/12/2022 08:37:54,Will_Malaysia_658,Comment&Like - 'Will_Malaysia_658' is active
11/12/2022 08:37:54,Will_Malaysia_659,Comment&Like - 'Will_Malaysia_659' is active
11/12/2022 08:37:54,Will_Malaysia_660,Comment&Like - 'Will_Malaysia_660' is active
11/12/2022 08:37:54,Will_Malaysia_661,Comment&Like - 'Will_Malaysia_661' is active
11/12/2022 08:37:54,Will_Malaysia_662,Comment&Like - 'Will_Malaysia_662' is active
11/12/2022 08:37:54,Will_Malaysia_663,Comment&Like - 'Will_Malaysia_663' is active
11/12/2022 08:37:54,Will_Malaysia_664,Comment&Like - 'Will_Malaysia_664' is active
11/12/2022 08:37:54,Will_Malaysia_665,Comment&Like - 'Will_Malaysia_665' is active
11/12/2022 08:37:54,Will_Malaysia_666,Comment&Like - 'Will_Malaysia_666' is active
11/12/2022 08:37:54, Will_Armenia_1001,Comment&Like - ' Will_Armenia_1001' is active
11/12/2022 08:37:54, Will_Armenia_1002,Comment&Like - ' Will_Armenia_1002' is active
11/12/2022 08:37:54, Will_Armenia_1003,Comment&Like - ' Will_Armenia_1003' is active
11/12/2022 08:37:54, Will_Armenia_1004,Comment&Like - ' Will_Armenia_1004' is active
11/12/2022 08:37:54, Will_Armenia_1005,Comment&Like - ' Will_Armenia_1005' is active
11/12/2022 08:37:54, Will_Armenia_1006,Comment&Like - ' Will_Armenia_1006' is active
11/12/2022 08:37:54, Will_Armenia_1007,Comment&Like - ' Will_Armenia_1007' is active
11/12/2022 08:37:54, Will_Armenia_1008,Comment&Like - ' Will_Armenia_1008' is active
11/12/2022 08:37:54, Will_Armenia_1009,Comment&Like - ' Will_Armenia_1009' is active
11/12/2022 08:37:54, Will_Armenia_1010,Comment&Like - ' Will_Armenia_1010' is active
11/12/2022 08:37:54, Will_Armenia_1011,Comment&Like - ' Will_Armenia_1011' is active
11/12/2022 08:37:54, Will_Armenia_1012,Comment&Like - ' Will_Armenia_1012' is active
11/12/2022 08:37:54, Will_Armenia_1013,Comment&Like - ' Will_Armenia_1013' is active
11/12/2022 08:37:54, Will_Armenia_1014,Comment&Like - ' Will_Armenia_1014' is active
11/12/2022 08:37:54, Will_Armenia_1015,Comment&Like - ' Will_Armenia_1015' is active
11/12/2022 08:37:54, Will_Armenia_1016,Comment&Like - ' Will_Armenia_1016' is active
11/12/2022 08:37:54, Will_Armenia_1017,Comment&Like - ' Will_Armenia_1017' is active
11/12/2022 08:37:54, Will_Armenia_1018,Comment&Like - ' Will_Armenia_1018' is active
11/12/2022 08:37:54, Will_Armenia_1019,Comment&Like - ' Will_Armenia_1019' is active
11/12/2022 08:37:54, Will_Armenia_1020,Comment&Like - ' Will_Armenia_1020' is active
11/12/2022 08:37:54, Will_Armenia_1021,Comment&Like - ' Will_Armenia_1021' is active
11/12/2022 08:37:54, Will_Armenia_1022,Comment&Like - ' Will_Armenia_1022' is active
11/12/2022 08:37:54,Billy_Malaysia_281,Comment&Like - 'Billy_Malaysia_281' is active
11/12/2022 08:37:54,Billy_Malaysia_282,Comment&Like - 'Billy_Malaysia_282' is active
11/12/2022 08:37:54,Billy_Malaysia_283,Comment&Like - 'Billy_Malaysia_283' is active
11/12/2022 08:37:54,Billy_Malaysia_284,Comment&Like - 'Billy_Malaysia_284' is active
11/12/2022 08:37:54,Billy_Malaysia_285,Comment&Like - 'Billy_Malaysia_285' is active
11/12/2022 08:37:54,Billy_Malaysia_286,Comment&Like - 'Billy_Malaysia_286' is active
11/12/2022 08:37:54,Billy_Malaysia_287,Comment&Like - 'Billy_Malaysia_287' is active
11/12/2022 08:37:54,Billy_Malaysia_288,Comment&Like - 'Billy_Malaysia_288' is active
11/12/2022 08:37:54,Billy_Malaysia_289,Comment&Like - 'Billy_Malaysia_289' is active
11/12/2022 08:37:54,Billy_Malaysia_290,Comment&Like - 'Billy_Malaysia_290' is active
11/12/2022 08:37:54,Billy_Malaysia_291,Comment&Like - 'Billy_Malaysia_291' is active
11/12/2022 08:37:54,Billy_Malaysia_292,Comment&Like - 'Billy_Malaysia_292' is active
11/12/2022 08:39:16,Will_Malaysia_631,Comment&Like - Will_Malaysia_631 - Finished operation
11/12/2022 08:39:24,Will_Malaysia_631,Group Joiner - 'Will_Malaysia_631' -  is active
11/12/2022 08:39:28,Will_Malaysia_631,Group Joiner - 'Will_Malaysia_631' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 08:39:35,Will_Malaysia_632,Group Joiner - 'Will_Malaysia_632' -  is active
11/12/2022 08:39:35,Will_Malaysia_633,Group Joiner - 'Will_Malaysia_633' -  is active
11/12/2022 08:39:35,Will_Malaysia_634,Group Joiner - 'Will_Malaysia_634' -  is active
11/12/2022 08:39:35,Will_Malaysia_635,Group Joiner - 'Will_Malaysia_635' -  is active
11/12/2022 08:39:35,Will_Malaysia_636,Group Joiner - 'Will_Malaysia_636' -  is active
11/12/2022 08:39:35,Will_Malaysia_637,Group Joiner - 'Will_Malaysia_637' -  is active
11/12/2022 08:39:35,Will_Malaysia_638,Group Joiner - 'Will_Malaysia_638' -  is active
11/12/2022 08:39:35,Will_Malaysia_639,Group Joiner - 'Will_Malaysia_639' -  is active
11/12/2022 08:39:35,Will_Malaysia_640,Group Joiner - 'Will_Malaysia_640' -  is active
11/12/2022 08:39:35,Will_Malaysia_641,Group Joiner - 'Will_Malaysia_641' -  is active
11/12/2022 08:39:35,Will_Malaysia_642,Group Joiner - 'Will_Malaysia_642' -  is active
