Date,Account,Status
07/05/2022 05:16:33,,Jarvee 3.3.1.1 is now active
07/05/2022 05:24:17,,Jarvee 3.3.1.1 is now active
07/06/2022 01:26:05,Yerosen_Malaysia70,Executing a Check Login operation for the 'Yerosen_Malaysia70' account.
07/06/2022 01:26:27,Yerosen_Malaysia70,Finalized a Check Login operation for the 'Yerosen_Malaysia70' account.
07/06/2022 01:26:30,Yerosen_Malaysia70,Change language to English - 'Yerosen_Malaysia70' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 01:26:58,Yerosen_Malaysia70,Change language to English - Yerosen_Malaysia70 - Finished operation
07/06/2022 01:27:00,Yerosen_Malaysia70,Synchronizing Pages for the 'Yerosen_Malaysia70' account.
07/06/2022 01:28:00,Yerosen_Malaysia70,Finalized pages synchronization for the 'Yerosen_Malaysia70' account.
07/06/2022 01:28:01,Yerosen_Malaysia70,Synchronizing Groups for the 'Yerosen_Malaysia70' account.
07/07/2022 07:19:27,,Jarvee 3.3.1.1 is now active
07/07/2022 08:07:42,Yerosen_Malaysia69,Change language to English - 'Yerosen_Malaysia69' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:08:14,Yerosen_Malaysia69,Change language to English - Yerosen_Malaysia69 - Finished operation
07/07/2022 08:08:16,Yerosen_Malaysia69,Synchronizing Groups for the 'Yerosen_Malaysia69' account.
07/07/2022 08:09:19,Yerosen_Malaysia69,Birthday Sync - for the 'Yerosen_Malaysia69' account URL: https://www.facebook.com/me
07/07/2022 08:09:19,Yerosen_Malaysia19,Change language to English - 'Yerosen_Malaysia19' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:09:42,Yerosen_Malaysia19,Change language to English - Error executing for the 'Yerosen_Malaysia19' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/07/2022 08:09:43,Yerosen_Malaysia19,Synchronizing Groups for the 'Yerosen_Malaysia19' account.
07/07/2022 08:09:58,Yerosen_Malaysia69,Checking restrictions for the 'Yerosen_Malaysia69' account done. URL: https://www.facebook.com/me
07/07/2022 08:09:59,Yerosen_Malaysia69,Checking restrictions for the 'Yerosen_Malaysia69' account
07/07/2022 08:10:15,Yerosen_Malaysia69,Checking restrictions for the 'Yerosen_Malaysia69' account done.
07/07/2022 08:11:02,Yerosen_Malaysia19,Birthday Sync - for the 'Yerosen_Malaysia19' account URL: https://www.facebook.com/me
07/07/2022 08:11:02,Yerosen_Malaysia33,Change language to English - 'Yerosen_Malaysia33' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:11:24,Yerosen_Malaysia33,Change language to English - Error executing for the 'Yerosen_Malaysia33' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/07/2022 08:11:27,Yerosen_Malaysia33,Synchronizing Groups for the 'Yerosen_Malaysia33' account.
07/07/2022 08:11:40,Yerosen_Malaysia19,Checking restrictions for the 'Yerosen_Malaysia19' account done. URL: https://www.facebook.com/me
07/07/2022 08:11:42,Yerosen_Malaysia19,Checking restrictions for the 'Yerosen_Malaysia19' account
07/07/2022 08:11:58,Yerosen_Malaysia19,Checking restrictions for the 'Yerosen_Malaysia19' account done.
07/07/2022 08:13:19,Yerosen_Malaysia33,Birthday Sync - for the 'Yerosen_Malaysia33' account URL: https://www.facebook.com/me
07/07/2022 08:13:19,Yerosen_Malaysia38,Change language to English - 'Yerosen_Malaysia38' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:13:40,Yerosen_Malaysia38,Change language to English - Error executing for the 'Yerosen_Malaysia38' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/07/2022 08:13:43,Yerosen_Malaysia38,Synchronizing Groups for the 'Yerosen_Malaysia38' account.
07/07/2022 08:13:57,Yerosen_Malaysia33,Checking restrictions for the 'Yerosen_Malaysia33' account done. URL: https://www.facebook.com/me
07/07/2022 08:13:58,Yerosen_Malaysia33,Checking restrictions for the 'Yerosen_Malaysia33' account
07/07/2022 08:14:14,Yerosen_Malaysia33,Checking restrictions for the 'Yerosen_Malaysia33' account done.
07/07/2022 08:14:37,Yerosen_Malaysia5,Change language to English - 'Yerosen_Malaysia5' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:14:37,Yerosen_Malaysia38,Birthday Sync - for the 'Yerosen_Malaysia38' account URL: https://www.facebook.com/me
07/07/2022 08:15:00,Yerosen_Malaysia5,Change language to English - Error executing for the 'Yerosen_Malaysia5' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/07/2022 08:15:02,Yerosen_Malaysia5,Synchronizing Groups for the 'Yerosen_Malaysia5' account.
07/07/2022 08:15:16,Yerosen_Malaysia38,Checking restrictions for the 'Yerosen_Malaysia38' account done. URL: https://www.facebook.com/me
07/07/2022 08:15:17,Yerosen_Malaysia38,Checking restrictions for the 'Yerosen_Malaysia38' account
07/07/2022 08:15:34,Yerosen_Malaysia38,Checking restrictions for the 'Yerosen_Malaysia38' account done.
07/07/2022 08:16:02,Yerosen_Malaysia5,Birthday Sync - for the 'Yerosen_Malaysia5' account URL: https://www.facebook.com/me
07/07/2022 08:16:02,Yerosen_Malaysia55,Change language to English - 'Yerosen_Malaysia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/07/2022 08:16:24,Yerosen_Malaysia55,Change language to English - Error executing for the 'Yerosen_Malaysia55' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
