Date,Account,Status
09/25/2022 04:32:22,,Jarvee 3.3.1.1 is now active
11/22/2022 23:11:04,,Jarvee 3.3.1.1 is now active
11/22/2022 23:39:32,Mila_Malaysia_141,Comment&Like - 'Mila_Malaysia_141' is active
11/22/2022 23:39:35,Mila_Malaysia_141,Comment&Like - 'Mila_Malaysia_141' - Liking by using https://www.facebook.com/groups/605843741270804
11/22/2022 23:39:38,Mila_Malaysia_142,Comment&Like - 'Mila_Malaysia_142' is active
11/22/2022 23:39:38,Mila_Malaysia_143,Comment&Like - 'Mila_Malaysia_143' is active
11/22/2022 23:39:38,Mila_Malaysia_144,Comment&Like - 'Mila_Malaysia_144' is active
11/22/2022 23:39:38,Mila_Malaysia_145,Comment&Like - 'Mila_Malaysia_145' is active
11/22/2022 23:39:39,Mila_Malaysia_146,Comment&Like - 'Mila_Malaysia_146' is active
11/22/2022 23:39:39,Mila_Malaysia_147,Comment&Like - 'Mila_Malaysia_147' is active
11/22/2022 23:39:39,Mila_Malaysia_148,Comment&Like - 'Mila_Malaysia_148' is active
11/22/2022 23:39:39,Mila_Malaysia_149,Comment&Like - 'Mila_Malaysia_149' is active
11/22/2022 23:39:39,Mila_Malaysia_150,Comment&Like - 'Mila_Malaysia_150' is active
11/22/2022 23:39:39,Mila_Malaysia_151,Comment&Like - 'Mila_Malaysia_151' is active
11/22/2022 23:39:39,Mila_Malaysia_152,Comment&Like - 'Mila_Malaysia_152' is active
11/22/2022 23:39:39,Mila_Malaysia_153,Comment&Like - 'Mila_Malaysia_153' is active
11/22/2022 23:39:39,Mila_Malaysia_154,Comment&Like - 'Mila_Malaysia_154' is active
11/22/2022 23:39:39,Mila_Malaysia_155,Comment&Like - 'Mila_Malaysia_155' is active
11/22/2022 23:39:39,Mila_Malaysia_156,Comment&Like - 'Mila_Malaysia_156' is active
11/22/2022 23:39:39,Mila_Malaysia_157,Comment&Like - 'Mila_Malaysia_157' is active
11/22/2022 23:39:39,Mila_Malaysia_158,Comment&Like - 'Mila_Malaysia_158' is active
11/22/2022 23:39:39,Mila_Malaysia_159,Comment&Like - 'Mila_Malaysia_159' is active
11/22/2022 23:39:39,Mila_Malaysia_160,Comment&Like - 'Mila_Malaysia_160' is active
11/22/2022 23:39:39,Mila_Malaysia_161,Comment&Like - 'Mila_Malaysia_161' is active
11/22/2022 23:39:39,Mila_Malaysia_162,Comment&Like - 'Mila_Malaysia_162' is active
11/22/2022 23:39:39,Mila_Malaysia_163,Comment&Like - 'Mila_Malaysia_163' is active
11/22/2022 23:39:39,Mila_Malaysia_164,Comment&Like - 'Mila_Malaysia_164' is active
11/22/2022 23:39:39,Mila_Malaysia_165,Comment&Like - 'Mila_Malaysia_165' is active
11/22/2022 23:39:39,Mila_Malaysia_166,Comment&Like - 'Mila_Malaysia_166' is active
11/22/2022 23:39:39,Mila_Malaysia_167,Comment&Like - 'Mila_Malaysia_167' is active
11/22/2022 23:39:39,Mila_Malaysia_168,Comment&Like - 'Mila_Malaysia_168' is active
11/22/2022 23:39:39,Mila_Malaysia_169,Comment&Like - 'Mila_Malaysia_169' is active
11/22/2022 23:39:39,Mila_Malaysia_170,Comment&Like - 'Mila_Malaysia_170' is active
11/22/2022 23:39:39,Mila_Malaysia_171,Comment&Like - 'Mila_Malaysia_171' is active
11/22/2022 23:39:39,Mila_Malaysia_172,Comment&Like - 'Mila_Malaysia_172' is active
11/22/2022 23:39:39,Mila_Malaysia_173,Comment&Like - 'Mila_Malaysia_173' is active
11/22/2022 23:39:39,Mila_Malaysia_174,Comment&Like - 'Mila_Malaysia_174' is active
11/22/2022 23:39:39,Mila_Malaysia_175,Comment&Like - 'Mila_Malaysia_175' is active
11/22/2022 23:39:39,Mila_Malaysia_176,Comment&Like - 'Mila_Malaysia_176' is active
11/22/2022 23:39:39,Mila_Malaysia_177,Comment&Like - 'Mila_Malaysia_177' is active
11/22/2022 23:39:39,Mila_Malaysia_178,Comment&Like - 'Mila_Malaysia_178' is active
11/22/2022 23:39:39,Mila_Malaysia_179,Comment&Like - 'Mila_Malaysia_179' is active
11/22/2022 23:39:39,Mila_Malaysia_180,Comment&Like - 'Mila_Malaysia_180' is active
11/22/2022 23:39:39,Mila_Malaysia_181,Comment&Like - 'Mila_Malaysia_181' is active
11/22/2022 23:39:39,Mila_Malaysia_182,Comment&Like - 'Mila_Malaysia_182' is active
11/22/2022 23:39:39,Mila_Malaysia_183,Comment&Like - 'Mila_Malaysia_183' is active
11/22/2022 23:39:39,Mila_Malaysia_184,Comment&Like - 'Mila_Malaysia_184' is active
11/22/2022 23:39:39,Mila_Malaysia_185,Comment&Like - 'Mila_Malaysia_185' is active
11/22/2022 23:39:39,Mila_Malaysia_186,Comment&Like - 'Mila_Malaysia_186' is active
