Date,Account,Status
09/21/2022 23:49:08,,Jarvee 3.3.1.1 is now active
09/23/2022 00:13:49,,Jarvee 3.3.1.1 is now active
09/23/2022 08:11:59,,Jarvee 3.3.1.1 is now active
11/15/2022 04:44:11,,Jarvee 3.3.1.1 is now active
11/15/2022 05:02:35,Pinky_Malaysia1,Comment&Like - 'Pinky_Malaysia1' is active
11/15/2022 05:02:38,Pinky_Malaysia1,Comment&Like - 'Pinky_Malaysia1' - Commenting by using https://www.facebook.com/groups/5106606936106939/
11/15/2022 05:02:43,Pinky_Malaysia2,Comment&Like - 'Pinky_Malaysia2' is active
11/15/2022 05:02:43,Pinky_Malaysia3,Comment&Like - 'Pinky_Malaysia3' is active
11/15/2022 05:02:43,Pinky_Malaysia4,Comment&Like - 'Pinky_Malaysia4' is active
11/15/2022 05:02:43,Pinky_Malaysia5,Comment&Like - 'Pinky_Malaysia5' is active
11/15/2022 05:02:43,Pinky_Malaysia6,Comment&Like - 'Pinky_Malaysia6' is active
11/15/2022 05:02:43,Pinky_Malaysia7,Comment&Like - 'Pinky_Malaysia7' is active
11/15/2022 05:02:43,Pinky_Malaysia8,Comment&Like - 'Pinky_Malaysia8' is active
11/15/2022 05:02:43,Pinky_Malaysia9,Comment&Like - 'Pinky_Malaysia9' is active
11/15/2022 05:02:43,Pinky_Malaysia10,Comment&Like - 'Pinky_Malaysia10' is active
11/15/2022 05:02:43,Pinky_Malaysia11,Comment&Like - 'Pinky_Malaysia11' is active
11/15/2022 05:02:43,Pinky_Malaysia12,Comment&Like - 'Pinky_Malaysia12' is active
11/15/2022 05:02:43,Pinky_Malaysia13,Comment&Like - 'Pinky_Malaysia13' is active
11/15/2022 05:02:43,Pinky_Malaysia14,Comment&Like - 'Pinky_Malaysia14' is active
11/15/2022 05:02:43,Pinky_Malaysia15,Comment&Like - 'Pinky_Malaysia15' is active
11/15/2022 05:02:43,Pinky_Malaysia16,Comment&Like - 'Pinky_Malaysia16' is active
11/15/2022 05:02:43,Pinky_Malaysia17,Comment&Like - 'Pinky_Malaysia17' is active
11/15/2022 05:02:43,Pinky_Malaysia18,Comment&Like - 'Pinky_Malaysia18' is active
11/15/2022 05:02:44,Pinky_Malaysia19,Comment&Like - 'Pinky_Malaysia19' is active
11/15/2022 05:02:44,Pinky_Malaysia20,Comment&Like - 'Pinky_Malaysia20' is active
11/15/2022 05:02:44,Pinky_Malaysia21,Comment&Like - 'Pinky_Malaysia21' is active
11/15/2022 05:02:44,Pinky_Malaysia22,Comment&Like - 'Pinky_Malaysia22' is active
11/15/2022 05:02:44,Pinky_Malaysia23,Comment&Like - 'Pinky_Malaysia23' is active
11/15/2022 05:02:44,Pinky_Malaysia24,Comment&Like - 'Pinky_Malaysia24' is active
11/15/2022 05:02:44,Pinky_Malaysia25,Comment&Like - 'Pinky_Malaysia25' is active
11/15/2022 05:02:44,Pinky_Malaysia26,Comment&Like - 'Pinky_Malaysia26' is active
11/15/2022 05:02:44,Pinky_Malaysia27,Comment&Like - 'Pinky_Malaysia27' is active
11/15/2022 05:02:44,Pinky_Malaysia28,Comment&Like - 'Pinky_Malaysia28' is active
11/15/2022 05:02:44,Pinky_Malaysia29,Comment&Like - 'Pinky_Malaysia29' is active
11/15/2022 05:02:44,Pinky_Malaysia30,Comment&Like - 'Pinky_Malaysia30' is active
11/15/2022 05:02:44,Pinky_Malaysia31,Comment&Like - 'Pinky_Malaysia31' is active
11/15/2022 05:02:44,Pinky_Malaysia32,Comment&Like - 'Pinky_Malaysia32' is active
11/15/2022 05:02:44,Pinky_Malaysia33,Comment&Like - 'Pinky_Malaysia33' is active
11/15/2022 05:02:44,Pinky_Malaysia34,Comment&Like - 'Pinky_Malaysia34' is active
11/15/2022 05:02:44,Pinky_Malaysia35,Comment&Like - 'Pinky_Malaysia35' is active
11/15/2022 05:02:44,Pinky_Malaysia36,Comment&Like - 'Pinky_Malaysia36' is active
11/15/2022 05:02:44,Pinky_Malaysia37,Comment&Like - 'Pinky_Malaysia37' is active
11/15/2022 05:02:44,Pinky_Malaysia38,Comment&Like - 'Pinky_Malaysia38' is active
11/15/2022 05:02:44,Pinky_Malaysia39,Comment&Like - 'Pinky_Malaysia39' is active
11/15/2022 05:02:44,Pinky_Malaysia40,Comment&Like - 'Pinky_Malaysia40' is active
11/15/2022 05:02:44,Pinky_Malaysia41,Comment&Like - 'Pinky_Malaysia41' is active
11/15/2022 05:02:44,Pinky_Malaysia42,Comment&Like - 'Pinky_Malaysia42' is active
11/15/2022 05:02:44,Pinky_Malaysia43,Comment&Like - 'Pinky_Malaysia43' is active
11/15/2022 05:02:44,Pinky_Malaysia44,Comment&Like - 'Pinky_Malaysia44' is active
11/15/2022 05:02:44,Pinky_Malaysia45,Comment&Like - 'Pinky_Malaysia45' is active
11/15/2022 05:02:44,Pinky_Malaysia46,Comment&Like - 'Pinky_Malaysia46' is active
11/15/2022 05:02:44,Pinky_Malaysia47,Comment&Like - 'Pinky_Malaysia47' is active
11/15/2022 05:02:44,Pinky_Malaysia48,Comment&Like - 'Pinky_Malaysia48' is active
11/15/2022 05:02:44,Pinky_Malaysia49,Comment&Like - 'Pinky_Malaysia49' is active
11/15/2022 05:02:44,Pinky_Malaysia50,Comment&Like - 'Pinky_Malaysia50' is active
11/15/2022 05:02:44,Pinky_Malaysia51,Comment&Like - 'Pinky_Malaysia51' is active
11/15/2022 05:02:44,Pinky_Malaysia52,Comment&Like - 'Pinky_Malaysia52' is active
11/15/2022 05:02:44,Pinky_Malaysia53,Comment&Like - 'Pinky_Malaysia53' is active
11/15/2022 05:02:44,Pinky_Malaysia54,Comment&Like - 'Pinky_Malaysia54' is active
11/15/2022 05:02:44,Pinky_Malaysia55,Comment&Like - 'Pinky_Malaysia55' is active
11/15/2022 05:02:44,Pinky_Malaysia56,Comment&Like - 'Pinky_Malaysia56' is active
11/15/2022 05:02:44,Pinky_Malaysia57,Comment&Like - 'Pinky_Malaysia57' is active
11/15/2022 05:02:44,Pinky_Malaysia58,Comment&Like - 'Pinky_Malaysia58' is active
11/15/2022 05:02:44,Pinky_Malaysia59,Comment&Like - 'Pinky_Malaysia59' is active
11/15/2022 05:02:44,Pinky_Malaysia60,Comment&Like - 'Pinky_Malaysia60' is active
11/15/2022 05:02:44,Pinky_Malaysia61,Comment&Like - 'Pinky_Malaysia61' is active
11/15/2022 05:02:44,Pinky_Malaysia62,Comment&Like - 'Pinky_Malaysia62' is active
11/15/2022 05:02:44,Pinky_Malaysia63,Comment&Like - 'Pinky_Malaysia63' is active
11/15/2022 05:02:44,Pinky_Malaysia64,Comment&Like - 'Pinky_Malaysia64' is active
11/15/2022 05:02:44,Pinky_Malaysia65,Comment&Like - 'Pinky_Malaysia65' is active
11/15/2022 05:02:44,Pinky_Malaysia66,Comment&Like - 'Pinky_Malaysia66' is active
11/15/2022 05:02:44,Pinky_Malaysia67,Comment&Like - 'Pinky_Malaysia67' is active
11/15/2022 05:02:44,Pinky_Malaysia68,Comment&Like - 'Pinky_Malaysia68' is active
11/15/2022 05:02:44,Pinky_Malaysia69,Comment&Like - 'Pinky_Malaysia69' is active
11/15/2022 05:02:44,Pinky_Malaysia70,Comment&Like - 'Pinky_Malaysia70' is active
11/15/2022 05:09:11,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' -  is active
11/15/2022 05:09:12,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/15/2022 05:09:20,Pinky_Malaysia2,Group Joiner - 'Pinky_Malaysia2' -  is active
11/15/2022 05:09:20,Pinky_Malaysia3,Group Joiner - 'Pinky_Malaysia3' -  is active
11/15/2022 05:09:20,Pinky_Malaysia4,Group Joiner - 'Pinky_Malaysia4' -  is active
11/15/2022 05:09:20,Pinky_Malaysia5,Group Joiner - 'Pinky_Malaysia5' -  is active
11/15/2022 05:09:20,Pinky_Malaysia6,Group Joiner - 'Pinky_Malaysia6' -  is active
11/15/2022 05:09:20,Pinky_Malaysia7,Group Joiner - 'Pinky_Malaysia7' -  is active
11/15/2022 05:09:20,Pinky_Malaysia8,Group Joiner - 'Pinky_Malaysia8' -  is active
11/15/2022 05:09:20,Pinky_Malaysia9,Group Joiner - 'Pinky_Malaysia9' -  is active
11/15/2022 05:09:20,Pinky_Malaysia10,Group Joiner - 'Pinky_Malaysia10' -  is active
11/15/2022 05:09:20,Pinky_Malaysia11,Group Joiner - 'Pinky_Malaysia11' -  is active
11/15/2022 05:09:20,Pinky_Malaysia12,Group Joiner - 'Pinky_Malaysia12' -  is active
11/15/2022 05:09:20,Pinky_Malaysia13,Group Joiner - 'Pinky_Malaysia13' -  is active
11/15/2022 05:09:20,Pinky_Malaysia14,Group Joiner - 'Pinky_Malaysia14' -  is active
11/15/2022 05:09:20,Pinky_Malaysia15,Group Joiner - 'Pinky_Malaysia15' -  is active
11/15/2022 05:09:20,Pinky_Malaysia16,Group Joiner - 'Pinky_Malaysia16' -  is active
11/15/2022 05:09:20,Pinky_Malaysia17,Group Joiner - 'Pinky_Malaysia17' -  is active
11/15/2022 05:09:20,Pinky_Malaysia18,Group Joiner - 'Pinky_Malaysia18' -  is active
11/15/2022 05:09:20,Pinky_Malaysia19,Group Joiner - 'Pinky_Malaysia19' -  is active
11/15/2022 05:09:20,Pinky_Malaysia20,Group Joiner - 'Pinky_Malaysia20' -  is active
11/15/2022 05:09:20,Pinky_Malaysia21,Group Joiner - 'Pinky_Malaysia21' -  is active
11/15/2022 05:09:20,Pinky_Malaysia22,Group Joiner - 'Pinky_Malaysia22' -  is active
11/15/2022 05:09:20,Pinky_Malaysia23,Group Joiner - 'Pinky_Malaysia23' -  is active
11/15/2022 05:09:20,Pinky_Malaysia24,Group Joiner - 'Pinky_Malaysia24' -  is active
11/15/2022 05:09:20,Pinky_Malaysia25,Group Joiner - 'Pinky_Malaysia25' -  is active
11/15/2022 05:09:20,Pinky_Malaysia26,Group Joiner - 'Pinky_Malaysia26' -  is active
11/15/2022 05:09:20,Pinky_Malaysia27,Group Joiner - 'Pinky_Malaysia27' -  is active
11/15/2022 05:09:20,Pinky_Malaysia28,Group Joiner - 'Pinky_Malaysia28' -  is active
11/15/2022 05:09:20,Pinky_Malaysia29,Group Joiner - 'Pinky_Malaysia29' -  is active
11/15/2022 05:09:20,Pinky_Malaysia30,Group Joiner - 'Pinky_Malaysia30' -  is active
11/15/2022 05:09:20,Pinky_Malaysia31,Group Joiner - 'Pinky_Malaysia31' -  is active
11/15/2022 05:09:20,Pinky_Malaysia32,Group Joiner - 'Pinky_Malaysia32' -  is active
11/15/2022 05:09:20,Pinky_Malaysia33,Group Joiner - 'Pinky_Malaysia33' -  is active
11/15/2022 05:09:20,Pinky_Malaysia34,Group Joiner - 'Pinky_Malaysia34' -  is active
11/15/2022 05:09:20,Pinky_Malaysia35,Group Joiner - 'Pinky_Malaysia35' -  is active
11/15/2022 05:09:20,Pinky_Malaysia36,Group Joiner - 'Pinky_Malaysia36' -  is active
11/15/2022 05:09:20,Pinky_Malaysia37,Group Joiner - 'Pinky_Malaysia37' -  is active
11/15/2022 05:09:20,Pinky_Malaysia38,Group Joiner - 'Pinky_Malaysia38' -  is active
11/15/2022 05:09:20,Pinky_Malaysia39,Group Joiner - 'Pinky_Malaysia39' -  is active
11/15/2022 05:09:20,Pinky_Malaysia40,Group Joiner - 'Pinky_Malaysia40' -  is active
11/15/2022 05:09:20,Pinky_Malaysia41,Group Joiner - 'Pinky_Malaysia41' -  is active
11/15/2022 05:09:20,Pinky_Malaysia42,Group Joiner - 'Pinky_Malaysia42' -  is active
11/15/2022 05:09:20,Pinky_Malaysia43,Group Joiner - 'Pinky_Malaysia43' -  is active
11/15/2022 05:09:20,Pinky_Malaysia44,Group Joiner - 'Pinky_Malaysia44' -  is active
11/15/2022 05:09:20,Pinky_Malaysia45,Group Joiner - 'Pinky_Malaysia45' -  is active
11/15/2022 05:09:20,Pinky_Malaysia46,Group Joiner - 'Pinky_Malaysia46' -  is active
11/15/2022 05:09:20,Pinky_Malaysia47,Group Joiner - 'Pinky_Malaysia47' -  is active
11/15/2022 05:09:20,Pinky_Malaysia48,Group Joiner - 'Pinky_Malaysia48' -  is active
11/15/2022 05:09:20,Pinky_Malaysia49,Group Joiner - 'Pinky_Malaysia49' -  is active
11/15/2022 05:09:20,Pinky_Malaysia50,Group Joiner - 'Pinky_Malaysia50' -  is active
11/15/2022 05:09:20,Pinky_Malaysia51,Group Joiner - 'Pinky_Malaysia51' -  is active
11/15/2022 05:09:20,Pinky_Malaysia52,Group Joiner - 'Pinky_Malaysia52' -  is active
11/15/2022 05:09:20,Pinky_Malaysia53,Group Joiner - 'Pinky_Malaysia53' -  is active
11/15/2022 05:09:20,Pinky_Malaysia54,Group Joiner - 'Pinky_Malaysia54' -  is active
