Date,Account,Status
09/24/2022 09:38:29,,Jarvee 3.3.5.0 is now active
09/27/2022 00:54:27,,Jarvee 3.3.5.0 is now active
09/28/2022 01:33:34,,Jarvee 3.3.5.0 is now active
09/28/2022 23:27:58,,Jarvee 3.3.5.0 is now active
09/29/2022 04:23:34,,Jarvee 3.3.5.0 is now active
12/06/2022 00:21:28,,Jarvee 3.3.5.0 is now active
12/06/2022 00:26:29,Cia_Malaysia_846,Change language to English - 'Cia_Malaysia_846' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
12/06/2022 00:27:26,Cia_Malaysia_870,Synchronizing Pages for the 'Cia_Malaysia_870' account.
12/06/2022 00:28:05,Cia_Greece_23,Cookies successfully imported for 'Cia_Greece_23'.
12/06/2022 00:28:07,Cia_Greece_17,Cookies successfully imported for 'Cia_Greece_17'.
12/06/2022 00:28:09,Cia_Greece_19,Cookies successfully imported for 'Cia_Greece_19'.
12/06/2022 00:28:11,Cia_Greece_24,Cookies successfully imported for 'Cia_Greece_24'.
12/06/2022 00:28:13,Cia_Greece_20,Cookies successfully imported for 'Cia_Greece_20'.
12/06/2022 00:28:15,Cia_Greece_4,Cookies successfully imported for 'Cia_Greece_4'.
12/06/2022 00:28:17,Cia_Greece_25,Cookies successfully imported for 'Cia_Greece_25'.
12/06/2022 00:28:20,Cia_Greece_6,Cookies successfully imported for 'Cia_Greece_6'.
12/06/2022 00:28:22,Cia_Greece_21,Cookies successfully imported for 'Cia_Greece_21'.
12/06/2022 00:28:24,Cia_Greece_22,Cookies successfully imported for 'Cia_Greece_22'.
12/06/2022 00:28:26,Cia_Greece_40,Cookies successfully imported for 'Cia_Greece_40'.
12/06/2022 00:28:26,Cia_Malaysia_870,Finalized pages synchronization for the 'Cia_Malaysia_870' account.
12/06/2022 00:28:28,Cia_Greece_1,Cookies successfully imported for 'Cia_Greece_1'.
12/06/2022 00:28:30,Cia_Malaysia_856,Cookies successfully imported for 'Cia_Malaysia_856'.
12/06/2022 00:28:32,Cia_Malaysia_855,Cookies successfully imported for 'Cia_Malaysia_855'.
12/06/2022 00:28:34,Cia_Malaysia_860,Cookies successfully imported for 'Cia_Malaysia_860'.
12/06/2022 00:28:36,Cia_Malaysia_848,Cookies successfully imported for 'Cia_Malaysia_848'.
12/06/2022 00:28:38,Cia_Malaysia_857,Cookies successfully imported for 'Cia_Malaysia_857'.
12/06/2022 00:28:40,Cia_Malaysia_853,Cookies successfully imported for 'Cia_Malaysia_853'.
12/06/2022 00:28:42,Cia_Malaysia_854,Cookies successfully imported for 'Cia_Malaysia_854'.
