Date,Account,Status
07/26/2022 23:21:08,,Jarvee 3.3.1.1 is now active
07/27/2022 06:36:03,,Jarvee 3.3.1.1 is now active
08/01/2022 05:19:30,,Jarvee 3.3.1.1 is now active
08/01/2022 05:24:37,Moeed_Malaysia44,Change language to English - 'Moeed_Malaysia44' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:24:37,Moeed_Malaysia17,Change language to English - 'Moeed_Malaysia17' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:24:37,Moeed_Malaysia7,Change language to English - 'Moeed_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:25:24,Moeed_Malaysia20,Change language to English - 'Moeed_Malaysia20' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:25:24,Moeed_Malaysia7,Change language to English - Error executing for the 'Moeed_Malaysia7' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:25:27,Moeed_Malaysia7,Synchronizing Pages for the 'Moeed_Malaysia7' account.
08/01/2022 05:25:33,Moeed_Malaysia44,Change language to English - Error executing for the 'Moeed_Malaysia44' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:25:33,Moeed_Malaysia44,Synchronizing Pages for the 'Moeed_Malaysia44' account.
08/01/2022 05:25:45,Moeed_Malaysia17,Change language to English - Error executing for the 'Moeed_Malaysia17' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:25:47,Moeed_Malaysia17,Synchronizing Groups for the 'Moeed_Malaysia17' account.
08/01/2022 05:26:25,Moeed_Malaysia30,Change language to English - 'Moeed_Malaysia30' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:26:34,Moeed_Malaysia20,Change language to English - Error executing for the 'Moeed_Malaysia20' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:26:37,Moeed_Malaysia20,Birthday Sync - for the 'Moeed_Malaysia20' account URL: https://www.facebook.com/me
08/01/2022 05:27:11,Moeed_Malaysia20,Birthday Sync - Error executing for the 'Moeed_Malaysia20' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
08/01/2022 05:27:12,Moeed_Malaysia20,Checking restrictions for the 'Moeed_Malaysia20' account
08/01/2022 05:27:21,Moeed_Malaysia44,Finalized pages synchronization for the 'Moeed_Malaysia44' account.
08/01/2022 05:27:21,Moeed_Malaysia44,Birthday Sync - for the 'Moeed_Malaysia44' account URL: https://www.facebook.com/me
08/01/2022 05:27:22,Moeed_Malaysia7,Finalized pages synchronization for the 'Moeed_Malaysia7' account.
08/01/2022 05:27:24,Moeed_Malaysia7,Synchronizing Groups for the 'Moeed_Malaysia7' account.
08/01/2022 05:27:29,Moeed_Malaysia30,Change language to English - Error executing for the 'Moeed_Malaysia30' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:27:30,Moeed_Malaysia30,Birthday Sync - for the 'Moeed_Malaysia30' account URL: https://www.facebook.com/me
08/01/2022 05:27:47,Moeed_Malaysia20,Checking restrictions for the 'Moeed_Malaysia20' account done.
08/01/2022 05:27:49,Moeed_Malaysia20,Synchronizing Number of Followers for the 'Moeed_Malaysia20' account
08/01/2022 05:28:21,Moeed_Malaysia17,Synchronizing Pages for the 'Moeed_Malaysia17' account.
08/01/2022 05:28:39,Moeed_Malaysia44,Birthday Sync - Error executing for the 'Moeed_Malaysia44' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/01/2022 05:28:42,Moeed_Malaysia44,Checking restrictions for the 'Moeed_Malaysia44' account
08/01/2022 05:29:03,Moeed_Malaysia7,Birthday Sync - for the 'Moeed_Malaysia7' account URL: https://www.facebook.com/me
08/01/2022 05:29:08,Moeed_Malaysia20,Finalized Number of Followers synchronization for the 'Moeed_Malaysia20' account.
08/01/2022 05:29:08,Moeed_Malaysia30,Birthday Sync - Error executing for the 'Moeed_Malaysia30' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/01/2022 05:29:09,Moeed_Malaysia20,Synchronizing Pages for the 'Moeed_Malaysia20' account.
08/01/2022 05:29:09,Moeed_Malaysia30,Checking restrictions for the 'Moeed_Malaysia30' account
08/01/2022 05:29:39,Moeed_Malaysia44,Checking restrictions for the 'Moeed_Malaysia44' account done.
08/01/2022 05:29:41,Moeed_Malaysia44,Synchronizing Number of Followers for the 'Moeed_Malaysia44' account
08/01/2022 05:30:12,Moeed_Malaysia30,Checking restrictions for the 'Moeed_Malaysia30' account done.
08/01/2022 05:30:12,Moeed_Malaysia30,Synchronizing Number of Followers for the 'Moeed_Malaysia30' account
08/01/2022 05:30:31,Moeed_Malaysia44,Finalized Number of Followers synchronization for the 'Moeed_Malaysia44' account.
08/01/2022 05:30:40,Moeed_Malaysia20,Finalized pages synchronization for the 'Moeed_Malaysia20' account.
08/01/2022 05:30:59,Moeed_Malaysia30,Finalized Number of Followers synchronization for the 'Moeed_Malaysia30' account.
08/01/2022 05:31:21,Moeed_Malaysia57,Change language to English - 'Moeed_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:31:24,Moeed_Malaysia28,Change language to English - 'Moeed_Malaysia28' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:31:24,Moeed_Malaysia17,Finalized pages synchronization for the 'Moeed_Malaysia17' account.
08/01/2022 05:32:08,Moeed_Malaysia36,Change language to English - 'Moeed_Malaysia36' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:32:20,Moeed_Malaysia28,Change language to English - Error executing for the 'Moeed_Malaysia28' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:32:21,Moeed_Malaysia28,Synchronizing Pages for the 'Moeed_Malaysia28' account.
08/01/2022 05:32:24,Moeed_Malaysia62,Change language to English - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:32:36,Moeed_Malaysia57,Change language to English - Error executing for the 'Moeed_Malaysia57' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:32:50,Moeed_Malaysia36,Change language to English - Error executing for the 'Moeed_Malaysia36' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:32:52,Moeed_Malaysia36,Synchronizing Pages for the 'Moeed_Malaysia36' account.
08/01/2022 05:32:58,Moeed_Malaysia7,Birthday Sync - Error executing for the 'Moeed_Malaysia7' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/01/2022 05:33:01,Moeed_Malaysia7,Checking restrictions for the 'Moeed_Malaysia7' account
08/01/2022 05:33:06,Moeed_Malaysia62,Change language to English - Error executing for the 'Moeed_Malaysia62' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 05:33:07,Moeed_Malaysia62,Synchronizing Pages for the 'Moeed_Malaysia62' account.
08/01/2022 05:33:44,Moeed_Malaysia25,Change language to English - 'Moeed_Malaysia25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 05:33:51,Moeed_Malaysia28,Finalized pages synchronization for the 'Moeed_Malaysia28' account.
