Date,Account,Status
07/25/2022 02:01:17,,Jarvee 3.3.1.1 is now active
07/25/2022 23:10:06,,Jarvee 3.3.1.1 is now active
07/26/2022 06:24:16,,Jarvee 3.3.1.1 is now active
08/01/2022 03:32:18,,Jarvee 3.3.1.1 is now active
08/01/2022 03:37:19,Moeed_Malaysia45,Change language to English - 'Moeed_Malaysia45' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:37:19,Moeed_Malaysia65,Change language to English - 'Moeed_Malaysia65' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:37:47,Moeed_Malaysia65,Change language to English - Error executing for the 'Moeed_Malaysia65' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:37:49,Moeed_Malaysia45,Change language to English - Error executing for the 'Moeed_Malaysia45' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:37:49,Moeed_Malaysia45,Synchronizing Groups for the 'Moeed_Malaysia45' account.
08/01/2022 03:37:49,Moeed_Malaysia65,Synchronizing Pages for the 'Moeed_Malaysia65' account.
08/01/2022 03:38:17,Moeed_Malaysia38,Change language to English - 'Moeed_Malaysia38' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:38:17,Moeed_Malaysia15,Change language to English - 'Moeed_Malaysia15' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:38:46,Moeed_Malaysia15,Change language to English - Error executing for the 'Moeed_Malaysia15' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:38:47,Moeed_Malaysia15,Synchronizing Pages for the 'Moeed_Malaysia15' account.
08/01/2022 03:38:53,Moeed_Malaysia38,Change language to English - Error executing for the 'Moeed_Malaysia38' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:39:02,Moeed_Malaysia45,Birthday Sync - for the 'Moeed_Malaysia45' account URL: https://www.facebook.com/me
08/01/2022 03:39:03,Moeed_Malaysia65,Finalized pages synchronization for the 'Moeed_Malaysia65' account.
08/01/2022 03:39:06,Moeed_Malaysia65,Birthday Sync - for the 'Moeed_Malaysia65' account URL: https://www.facebook.com/me
08/01/2022 03:39:18,Moeed_Malaysia13,Change language to English - 'Moeed_Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:39:45,Moeed_Malaysia66,Change language to English - 'Moeed_Malaysia66' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:39:46,Moeed_Malaysia13,Change language to English - Error executing for the 'Moeed_Malaysia13' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:39:48,Moeed_Malaysia13,Birthday Sync - for the 'Moeed_Malaysia13' account URL: https://www.facebook.com/me
08/01/2022 03:39:57,Moeed_Malaysia65,Checking restrictions for the 'Moeed_Malaysia65' account done. URL: https://www.facebook.com/me
08/01/2022 03:39:57,Moeed_Malaysia45,Checking restrictions for the 'Moeed_Malaysia45' account done. URL: https://www.facebook.com/me
08/01/2022 03:39:57,Moeed_Malaysia45,Checking restrictions for the 'Moeed_Malaysia45' account
08/01/2022 03:39:57,Moeed_Malaysia65,Checking restrictions for the 'Moeed_Malaysia65' account
08/01/2022 03:40:02,Moeed_Malaysia15,Finalized pages synchronization for the 'Moeed_Malaysia15' account.
08/01/2022 03:40:04,Moeed_Malaysia15,Birthday Sync - for the 'Moeed_Malaysia15' account URL: https://www.facebook.com/me
08/01/2022 03:40:15,Moeed_Malaysia66,Change language to English - Error executing for the 'Moeed_Malaysia66' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:40:16,Moeed_Malaysia66,Synchronizing Groups for the 'Moeed_Malaysia66' account.
08/01/2022 03:40:19,Moeed_Malaysia45,Checking restrictions for the 'Moeed_Malaysia45' account done.
08/01/2022 03:40:22,Moeed_Malaysia45,Synchronizing Number of Followers for the 'Moeed_Malaysia45' account
08/01/2022 03:40:24,Moeed_Malaysia65,Checking restrictions for the 'Moeed_Malaysia65' account done.
08/01/2022 03:40:25,Moeed_Malaysia65,Synchronizing Number of Followers for the 'Moeed_Malaysia65' account
08/01/2022 03:40:37,Moeed_Malaysia13,Checking restrictions for the 'Moeed_Malaysia13' account done. URL: https://www.facebook.com/me
08/01/2022 03:40:40,Moeed_Malaysia13,Checking restrictions for the 'Moeed_Malaysia13' account
08/01/2022 03:40:47,Moeed_Malaysia45,Finalized Number of Followers synchronization for the 'Moeed_Malaysia45' account.
08/01/2022 03:40:49,Moeed_Malaysia45,Synchronizing Pages for the 'Moeed_Malaysia45' account.
08/01/2022 03:40:52,Moeed_Malaysia15,Checking restrictions for the 'Moeed_Malaysia15' account done. URL: https://www.facebook.com/me
08/01/2022 03:40:52,Moeed_Malaysia15,Checking restrictions for the 'Moeed_Malaysia15' account
08/01/2022 03:40:53,Moeed_Malaysia65,Finalized Number of Followers synchronization for the 'Moeed_Malaysia65' account.
08/01/2022 03:40:55,Moeed_Malaysia65,Synchronizing Groups for the 'Moeed_Malaysia65' account.
08/01/2022 03:41:00,Moeed_Malaysia13,Checking restrictions for the 'Moeed_Malaysia13' account done.
08/01/2022 03:41:01,Moeed_Malaysia13,Synchronizing Number of Followers for the 'Moeed_Malaysia13' account
08/01/2022 03:41:22,Moeed_Malaysia15,Checking restrictions - Error executing for the 'Moeed_Malaysia15' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/support/
08/01/2022 03:41:26,Moeed_Malaysia15,Executing a Login operation for the 'Moeed_Malaysia15' account.
08/01/2022 03:41:33,Moeed_Malaysia13,Finalized Number of Followers synchronization for the 'Moeed_Malaysia13' account.
08/01/2022 03:41:35,Moeed_Malaysia13,Synchronizing Groups for the 'Moeed_Malaysia13' account.
08/01/2022 03:41:35,Moeed_Malaysia33,Change language to English - 'Moeed_Malaysia33' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 03:41:48,Moeed_Malaysia15,The Login operation for the 'Moeed_Malaysia15' account is finalized.
08/01/2022 03:41:53,Moeed_Malaysia15,Executing a Check Login operation for the 'Moeed_Malaysia15' account.
08/01/2022 03:42:01,Moeed_Malaysia45,Finalized pages synchronization for the 'Moeed_Malaysia45' account.
08/01/2022 03:42:08,Moeed_Malaysia33,Change language to English - Error executing for the 'Moeed_Malaysia33' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 03:42:12,Moeed_Malaysia15,Finalized a Check Login operation for the 'Moeed_Malaysia15' account.
