Date,Account,Status
07/28/2022 02:59:25,,Jarvee 3.3.1.1 is now active
07/28/2022 04:17:18,,Jarvee 3.3.1.1 is now active
07/28/2022 04:43:12,,Jarvee 3.3.1.1 is now active
07/28/2022 23:21:22,,Jarvee 3.3.1.1 is now active
07/29/2022 06:29:51,,Jarvee 3.3.1.1 is now active
07/29/2022 06:40:26,,Jarvee 3.3.1.1 is now active
07/29/2022 06:41:25,,Jarvee 3.3.1.1 is now active
08/01/2022 08:39:17,,Jarvee 3.3.1.1 is now active
08/01/2022 08:44:18,Moeed_Malaysia48,Change language to English - 'Moeed_Malaysia48' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:44:18,Moeed_Malaysia60,Change language to English - 'Moeed_Malaysia60' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:44:18,Moeed_Malaysia67,Change language to English - 'Moeed_Malaysia67' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:44:42,Moeed_Malaysia60,Change language to English - Error executing for the 'Moeed_Malaysia60' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:44:42,Moeed_Malaysia60,Synchronizing Pages for the 'Moeed_Malaysia60' account.
08/01/2022 08:44:54,Moeed_Malaysia48,Change language to English - Error executing for the 'Moeed_Malaysia48' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:44:57,Moeed_Malaysia48,Birthday Sync - for the 'Moeed_Malaysia48' account URL: https://www.facebook.com/me
08/01/2022 08:45:01,Moeed_Malaysia67,Change language to English - Error executing for the 'Moeed_Malaysia67' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:45:04,Moeed_Malaysia67,Synchronizing Groups for the 'Moeed_Malaysia67' account.
08/01/2022 08:45:16,Moeed_Malaysia69,Change language to English - 'Moeed_Malaysia69' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:45:16,Moeed_Malaysia62,Change language to English - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:45:56,Moeed_Malaysia60,Finalized pages synchronization for the 'Moeed_Malaysia60' account.
08/01/2022 08:45:58,Moeed_Malaysia48,Birthday Sync - Error executing for the 'Moeed_Malaysia48' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/01/2022 08:45:59,Moeed_Malaysia60,Synchronizing Groups for the 'Moeed_Malaysia60' account.
08/01/2022 08:45:59,Moeed_Malaysia48,Checking restrictions for the 'Moeed_Malaysia48' account
08/01/2022 08:46:07,Moeed_Malaysia69,Change language to English - Error executing for the 'Moeed_Malaysia69' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:46:20,Moeed_Malaysia67,Synchronizing Pages for the 'Moeed_Malaysia67' account.
08/01/2022 08:46:31,Moeed_Malaysia48,Checking restrictions for the 'Moeed_Malaysia48' account done.
08/01/2022 08:46:33,Moeed_Malaysia48,Synchronizing Number of Followers for the 'Moeed_Malaysia48' account
08/01/2022 08:46:51,Moeed_Malaysia60,Birthday Sync - for the 'Moeed_Malaysia60' account URL: https://www.facebook.com/me
08/01/2022 08:47:00,Moeed_Malaysia65,Change language to English - 'Moeed_Malaysia65' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:47:02,Moeed_Malaysia48,Finalized Number of Followers synchronization for the 'Moeed_Malaysia48' account.
08/01/2022 08:47:03,Moeed_Malaysia48,Synchronizing Groups for the 'Moeed_Malaysia48' account.
08/01/2022 08:47:42,Moeed_Malaysia65,Change language to English - Error executing for the 'Moeed_Malaysia65' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:47:43,Moeed_Malaysia65,Birthday Sync - for the 'Moeed_Malaysia65' account URL: https://www.facebook.com/me
08/01/2022 08:47:55,Moeed_Malaysia67,Finalized pages synchronization for the 'Moeed_Malaysia67' account.
08/01/2022 08:47:58,Moeed_Malaysia67,Birthday Sync - for the 'Moeed_Malaysia67' account URL: https://www.facebook.com/me
08/01/2022 08:48:16,Moeed_Malaysia62,Change language to English - Error executing for the 'Moeed_Malaysia62' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:48:17,Moeed_Malaysia62,Birthday Sync - for the 'Moeed_Malaysia62' account URL: https://www.facebook.com/me
08/01/2022 08:48:23,Moeed_Malaysia48,Synchronizing Pages for the 'Moeed_Malaysia48' account.
08/01/2022 08:49:02,Moeed_Malaysia65,Birthday Sync - Error executing for the 'Moeed_Malaysia65' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/01/2022 08:49:03,Moeed_Malaysia65,Checking restrictions for the 'Moeed_Malaysia65' account
08/01/2022 08:49:04,Moeed_Malaysia67,Birthday Sync - Error executing for the 'Moeed_Malaysia67' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/01/2022 08:49:07,Moeed_Malaysia67,Checking restrictions for the 'Moeed_Malaysia67' account
08/01/2022 08:49:36,Moeed_Malaysia65,Checking restrictions for the 'Moeed_Malaysia65' account done.
08/01/2022 08:49:36,Moeed_Malaysia67,Checking restrictions - Error executing for the 'Moeed_Malaysia67' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/support/
08/01/2022 08:49:37,Moeed_Malaysia65,Synchronizing Number of Followers for the 'Moeed_Malaysia65' account
08/01/2022 08:49:37,Moeed_Malaysia67,Executing a Login operation for the 'Moeed_Malaysia67' account.
08/01/2022 08:49:42,Moeed_Malaysia48,Finalized pages synchronization for the 'Moeed_Malaysia48' account.
08/01/2022 08:50:14,Moeed_Malaysia60,Birthday Sync - Error executing for the 'Moeed_Malaysia60' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/01/2022 08:50:15,Moeed_Malaysia60,Checking restrictions for the 'Moeed_Malaysia60' account
08/01/2022 08:50:17,Moeed_Malaysia67,The Login operation for the 'Moeed_Malaysia67' account is finalized.
08/01/2022 08:50:21,Moeed_Malaysia55,Change language to English - 'Moeed_Malaysia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:50:21,Moeed_Malaysia67,Executing a Check Login operation for the 'Moeed_Malaysia67' account.
08/01/2022 08:50:24,Moeed_Malaysia65,Finalized Number of Followers synchronization for the 'Moeed_Malaysia65' account.
08/01/2022 08:50:27,Moeed_Malaysia65,Synchronizing Pages for the 'Moeed_Malaysia65' account.
08/01/2022 08:50:38,Moeed_Malaysia67,Finalized a Check Login operation for the 'Moeed_Malaysia67' account.
08/01/2022 08:50:44,Moeed_Malaysia60,Checking restrictions for the 'Moeed_Malaysia60' account done.
08/01/2022 08:50:46,Moeed_Malaysia60,Synchronizing Number of Followers for the 'Moeed_Malaysia60' account
08/01/2022 08:51:02,Moeed_Malaysia55,Change language to English - Error executing for the 'Moeed_Malaysia55' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:51:15,Moeed_Malaysia62,Birthday Sync - Error executing for the 'Moeed_Malaysia62' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/me
08/01/2022 08:51:18,Moeed_Malaysia62,Checking restrictions for the 'Moeed_Malaysia62' account
08/01/2022 08:51:24,Moeed_Malaysia60,Finalized Number of Followers synchronization for the 'Moeed_Malaysia60' account.
08/01/2022 08:51:39,Moeed_Malaysia39,Change language to English - 'Moeed_Malaysia39' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:51:52,Moeed_Malaysia65,Finalized pages synchronization for the 'Moeed_Malaysia65' account.
08/01/2022 08:51:55,Moeed_Malaysia65,Synchronizing Groups for the 'Moeed_Malaysia65' account.
08/01/2022 08:52:10,Moeed_Malaysia2,Change language to English - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 08:52:22,Moeed_Malaysia39,Change language to English - Error executing for the 'Moeed_Malaysia39' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 08:52:22,Moeed_Malaysia39,Birthday Sync - for the 'Moeed_Malaysia39' account URL: https://www.facebook.com/me
