Date,Account,Status
07/21/2022 02:02:41,,Jarvee 3.3.1.1 is now active
07/21/2022 23:21:56,,Jarvee 3.3.1.1 is now active
07/23/2022 05:52:15,,Jarvee 3.3.1.1 is now active
07/31/2022 23:46:39,,Jarvee 3.3.1.1 is now active
07/31/2022 23:51:38,Moeed_Malaysia27,Change language to English - 'Moeed_Malaysia27' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/31/2022 23:51:38,Moeed_Malaysia58,Change language to English - 'Moeed_Malaysia58' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/31/2022 23:52:18,Moeed_Malaysia58,Change language to English - Error executing for the 'Moeed_Malaysia58' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/31/2022 23:52:20,Moeed_Malaysia58,Synchronizing Pages for the 'Moeed_Malaysia58' account.
07/31/2022 23:52:21,Moeed_Malaysia27,Change language to English - Error executing for the 'Moeed_Malaysia27' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/31/2022 23:52:23,Moeed_Malaysia27,Birthday Sync - for the 'Moeed_Malaysia27' account URL: https://www.facebook.com/me
07/31/2022 23:52:39,Moeed_Malaysia49,Change language to English - 'Moeed_Malaysia49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/31/2022 23:52:39,Moeed_Malaysia57,Change language to English - 'Moeed_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/31/2022 23:52:39,Moeed_Malaysia67,Change language to English - 'Moeed_Malaysia67' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/31/2022 23:53:05,Moeed_Malaysia67,Change language to English - Error executing for the 'Moeed_Malaysia67' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/31/2022 23:53:06,Moeed_Malaysia67,Synchronizing Pages for the 'Moeed_Malaysia67' account.
07/31/2022 23:53:15,Moeed_Malaysia57,Change language to English - Error executing for the 'Moeed_Malaysia57' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/31/2022 23:53:16,Moeed_Malaysia57,Synchronizing Groups for the 'Moeed_Malaysia57' account.
07/31/2022 23:53:16,Moeed_Malaysia49,Change language to English - Error executing for the 'Moeed_Malaysia49' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/31/2022 23:53:17,Moeed_Malaysia27,Birthday Sync - Error executing for the 'Moeed_Malaysia27' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/31/2022 23:53:19,Moeed_Malaysia27,Checking restrictions for the 'Moeed_Malaysia27' account
07/31/2022 23:53:19,Moeed_Malaysia49,Synchronizing Groups for the 'Moeed_Malaysia49' account.
07/31/2022 23:53:41,Moeed_Malaysia27,Checking restrictions for the 'Moeed_Malaysia27' account done.
07/31/2022 23:53:42,Moeed_Malaysia58,Finalized pages synchronization for the 'Moeed_Malaysia58' account.
07/31/2022 23:53:43,Moeed_Malaysia27,Synchronizing Number of Followers for the 'Moeed_Malaysia27' account
07/31/2022 23:54:17,Moeed_Malaysia27,Finalized Number of Followers synchronization for the 'Moeed_Malaysia27' account.
07/31/2022 23:54:19,Moeed_Malaysia49,Synchronizing Pages for the 'Moeed_Malaysia49' account.
07/31/2022 23:54:19,Moeed_Malaysia27,Synchronizing Pages for the 'Moeed_Malaysia27' account.
07/31/2022 23:54:22,Moeed_Malaysia67,Finalized pages synchronization for the 'Moeed_Malaysia67' account.
07/31/2022 23:54:23,Moeed_Malaysia67,Birthday Sync - for the 'Moeed_Malaysia67' account URL: https://www.facebook.com/me
