Date,Account,Status
09/14/2022 08:34:53,,Jarvee 3.3.1.1 is now active
11/02/2022 09:07:19,,Jarvee 3.3.1.1 is now active
11/02/2022 09:12:30,Frank_Malaysia281,Group Joiner - 'Frank_Malaysia281' -  is active
11/02/2022 09:12:34,Frank_Malaysia281,Group Joiner - 'Frank_Malaysia281' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:12:39,Frank_Malaysia282,Group Joiner - 'Frank_Malaysia282' -  is active
11/02/2022 09:12:39,Frank_Malaysia283,Group Joiner - 'Frank_Malaysia283' -  is active
11/02/2022 09:12:39,Frank_Malaysia284,Group Joiner - 'Frank_Malaysia284' -  is active
11/02/2022 09:12:39,Frank_Malaysia285,Group Joiner - 'Frank_Malaysia285' -  is active
11/02/2022 09:12:39,Frank_Malaysia286,Group Joiner - 'Frank_Malaysia286' -  is active
11/02/2022 09:12:39,Frank_Malaysia287,Group Joiner - 'Frank_Malaysia287' -  is active
11/02/2022 09:12:39,Frank_Malaysia288,Group Joiner - 'Frank_Malaysia288' -  is active
11/02/2022 09:12:39,Frank_Malaysia289,Group Joiner - 'Frank_Malaysia289' -  is active
11/02/2022 09:12:39,Frank_Malaysia290,Group Joiner - 'Frank_Malaysia290' -  is active
11/02/2022 09:12:39,Frank_Malaysia291,Group Joiner - 'Frank_Malaysia291' -  is active
11/02/2022 09:12:39,Frank_Malaysia292,Group Joiner - 'Frank_Malaysia292' -  is active
11/02/2022 09:12:39,Frank_Malaysia293,Group Joiner - 'Frank_Malaysia293' -  is active
11/02/2022 09:12:39,Frank_Malaysia294,Group Joiner - 'Frank_Malaysia294' -  is active
11/02/2022 09:12:39,Frank_Malaysia295,Group Joiner - 'Frank_Malaysia295' -  is active
11/02/2022 09:12:39,Frank_Malaysia296,Group Joiner - 'Frank_Malaysia296' -  is active
11/02/2022 09:12:39,Frank_Malaysia297,Group Joiner - 'Frank_Malaysia297' -  is active
11/02/2022 09:12:39,Frank_Malaysia298,Group Joiner - 'Frank_Malaysia298' -  is active
11/02/2022 09:12:39,Frank_Malaysia299,Group Joiner - 'Frank_Malaysia299' -  is active
11/02/2022 09:12:39,Frank_Malaysia300,Group Joiner - 'Frank_Malaysia300' -  is active
11/02/2022 09:12:39,Frank_Malaysia301,Group Joiner - 'Frank_Malaysia301' -  is active
11/02/2022 09:12:39,Frank_Malaysia302,Group Joiner - 'Frank_Malaysia302' -  is active
11/02/2022 09:12:39,Frank_Malaysia303,Group Joiner - 'Frank_Malaysia303' -  is active
11/02/2022 09:12:39,Frank_Malaysia304,Group Joiner - 'Frank_Malaysia304' -  is active
11/02/2022 09:12:39,Frank_Malaysia305,Group Joiner - 'Frank_Malaysia305' -  is active
11/02/2022 09:12:39,Frank_Malaysia306,Group Joiner - 'Frank_Malaysia306' -  is active
11/02/2022 09:12:39,Frank_Malaysia307,Group Joiner - 'Frank_Malaysia307' -  is active
11/02/2022 09:12:39,Frank_Malaysia309,Group Joiner - 'Frank_Malaysia309' -  is active
11/02/2022 09:12:39,Frank_Malaysia310,Group Joiner - 'Frank_Malaysia310' -  is active
11/02/2022 09:12:39,Frank_Malaysia311,Group Joiner - 'Frank_Malaysia311' -  is active
11/02/2022 09:12:39,Frank_Malaysia312,Group Joiner - 'Frank_Malaysia312' -  is active
11/02/2022 09:12:39,Frank_Malaysia314,Group Joiner - 'Frank_Malaysia314' -  is active
11/02/2022 09:12:39,Frank_Malaysia315,Group Joiner - 'Frank_Malaysia315' -  is active
11/02/2022 09:12:39,Frank_Malaysia316,Group Joiner - 'Frank_Malaysia316' -  is active
11/02/2022 09:12:39,Frank_Malaysia317,Group Joiner - 'Frank_Malaysia317' -  is active
11/02/2022 09:12:39,Frank_Malaysia318,Group Joiner - 'Frank_Malaysia318' -  is active
11/02/2022 09:12:39,Frank_Malaysia319,Group Joiner - 'Frank_Malaysia319' -  is active
11/02/2022 09:12:39,Frank_Malaysia320,Group Joiner - 'Frank_Malaysia320' -  is active
11/02/2022 09:12:39,Frank_Malaysia321,Group Joiner - 'Frank_Malaysia321' -  is active
11/02/2022 09:12:39,Frank_Malaysia322,Group Joiner - 'Frank_Malaysia322' -  is active
11/02/2022 09:12:39,Frank_Malaysia323,Group Joiner - 'Frank_Malaysia323' -  is active
11/02/2022 09:12:39,Frank_Malaysia324,Group Joiner - 'Frank_Malaysia324' -  is active
11/02/2022 09:12:39,Frank_Malaysia325,Group Joiner - 'Frank_Malaysia325' -  is active
11/02/2022 09:12:39,Frank_Malaysia326,Group Joiner - 'Frank_Malaysia326' -  is active
11/02/2022 09:12:39,Frank_Malaysia327,Group Joiner - 'Frank_Malaysia327' -  is active
11/02/2022 09:12:39,Frank_Malaysia328,Group Joiner - 'Frank_Malaysia328' -  is active
11/02/2022 09:12:39,Frank_Malaysia329,Group Joiner - 'Frank_Malaysia329' -  is active
11/02/2022 09:12:39,Frank_Malaysia330,Group Joiner - 'Frank_Malaysia330' -  is active
11/02/2022 09:12:39,Frank_Malaysia331,Group Joiner - 'Frank_Malaysia331' -  is active
11/02/2022 09:12:39,Frank_Malaysia332,Group Joiner - 'Frank_Malaysia332' -  is active
11/02/2022 09:12:39,Frank_Malaysia333,Group Joiner - 'Frank_Malaysia333' -  is active
11/02/2022 09:12:39,Frank_Malaysia334,Group Joiner - 'Frank_Malaysia334' -  is active
11/02/2022 09:12:39,Frank_Malaysia335,Group Joiner - 'Frank_Malaysia335' -  is active
11/02/2022 09:12:39,Frank_Malaysia336,Group Joiner - 'Frank_Malaysia336' -  is active
11/02/2022 09:12:39,Frank_Malaysia337,Group Joiner - 'Frank_Malaysia337' -  is active
11/02/2022 09:12:39,Frank_Malaysia338,Group Joiner - 'Frank_Malaysia338' -  is active
11/02/2022 09:12:39,Frank_Malaysia339,Group Joiner - 'Frank_Malaysia339' -  is active
11/02/2022 09:12:39,Frank_Malaysia340,Group Joiner - 'Frank_Malaysia340' -  is active
11/02/2022 09:12:39,Frank_Malaysia341,Group Joiner - 'Frank_Malaysia341' -  is active
11/02/2022 09:12:39,Frank_Malaysia342,Group Joiner - 'Frank_Malaysia342' -  is active
11/02/2022 09:12:39,Frank_Malaysia343,Group Joiner - 'Frank_Malaysia343' -  is active
11/02/2022 09:12:39,Frank_Malaysia344,Group Joiner - 'Frank_Malaysia344' -  is active
11/02/2022 09:12:39,Frank_Malaysia346,Group Joiner - 'Frank_Malaysia346' -  is active
11/02/2022 09:12:39,Frank_Malaysia347,Group Joiner - 'Frank_Malaysia347' -  is active
11/02/2022 09:12:39,Frank_Malaysia348,Group Joiner - 'Frank_Malaysia348' -  is active
11/02/2022 09:12:39,Frank_Malaysia350,Group Joiner - 'Frank_Malaysia350' -  is active
11/02/2022 09:12:39,Frank_Malaysia_308,Group Joiner - 'Frank_Malaysia_308' -  is active
11/02/2022 09:12:39,Frank_Malaysia_349,Group Joiner - 'Frank_Malaysia_349' -  is active
11/02/2022 09:12:39,Frank_Malaysia_345,Group Joiner - 'Frank_Malaysia_345' -  is active
11/02/2022 09:12:39,Frank_Malaysia_313,Group Joiner - 'Frank_Malaysia_313' -  is active
11/02/2022 09:13:13,Frank_Malaysia281,Group Joiner - Frank_Malaysia281 - Finished operation
11/02/2022 09:32:52,Frank_Malaysia_313,Group Joiner - 'Frank_Malaysia_313' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:32:52,Frank_Malaysia327,Group Joiner - 'Frank_Malaysia327' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:32:52,Frank_Malaysia343,Group Joiner - 'Frank_Malaysia343' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:32:58,Frank_Malaysia291,Group Joiner - 'Frank_Malaysia291' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:33:04,Frank_Malaysia293,Group Joiner - 'Frank_Malaysia293' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:33:51,Frank_Malaysia343,Group Joiner - Frank_Malaysia343 - Finished operation
11/02/2022 09:33:53,Frank_Malaysia299,Group Joiner - 'Frank_Malaysia299' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:33:54,Frank_Malaysia327,Group Joiner - Frank_Malaysia327 - Finished operation
11/02/2022 09:33:56,Frank_Malaysia323,Group Joiner - 'Frank_Malaysia323' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:33:58,Frank_Malaysia291,Group Joiner - Frank_Malaysia291 - Finished operation
11/02/2022 09:33:59,Frank_Malaysia305,Group Joiner - 'Frank_Malaysia305' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:34:04,Frank_Malaysia293,Group Joiner - Frank_Malaysia293 - Finished operation
11/02/2022 09:34:05,Frank_Malaysia337,Group Joiner - 'Frank_Malaysia337' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:34:07,Frank_Malaysia_313,Group Joiner - Error executing for the 'Frank_Malaysia_313' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
11/02/2022 09:34:08,Frank_Malaysia282,Group Joiner - 'Frank_Malaysia282' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:34:21,Frank_Malaysia299,Group Joiner - Error executing for the 'Frank_Malaysia299' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
11/02/2022 09:34:23,Frank_Malaysia302,Group Joiner - 'Frank_Malaysia302' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:35:01,Frank_Malaysia302,Group Joiner - Frank_Malaysia302 - Finished operation
11/02/2022 09:35:03,Frank_Malaysia303,Group Joiner - 'Frank_Malaysia303' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:35:04,Frank_Malaysia305,Group Joiner - Frank_Malaysia305 - Finished operation
11/02/2022 09:35:06,Frank_Malaysia294,Group Joiner - 'Frank_Malaysia294' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:35:07,Frank_Malaysia337,Group Joiner - Frank_Malaysia337 - Finished operation
11/02/2022 09:35:09,Frank_Malaysia324,Group Joiner - 'Frank_Malaysia324' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:05,Frank_Malaysia303,Group Joiner - Frank_Malaysia303 - Finished operation
11/02/2022 09:36:07,Frank_Malaysia300,Group Joiner - 'Frank_Malaysia300' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:13,Frank_Malaysia324,Group Joiner - Frank_Malaysia324 - Finished operation
11/02/2022 09:36:16,Frank_Malaysia289,Group Joiner - 'Frank_Malaysia289' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:20,Frank_Malaysia282,Group Joiner - Frank_Malaysia282 - Finished operation
11/02/2022 09:36:22,Frank_Malaysia298,Group Joiner - 'Frank_Malaysia298' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:25,Frank_Malaysia294,Group Joiner - Frank_Malaysia294 - Finished operation
11/02/2022 09:36:28,Frank_Malaysia_345,Group Joiner - 'Frank_Malaysia_345' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:40,Frank_Malaysia323,Group Joiner - Frank_Malaysia323 - Finished operation
11/02/2022 09:36:40,Frank_Malaysia344,Group Joiner - 'Frank_Malaysia344' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:36:57,Frank_Malaysia300,Group Joiner - Frank_Malaysia300 - Finished operation
11/02/2022 09:36:58,Frank_Malaysia332,Group Joiner - 'Frank_Malaysia332' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:37:02,Frank_Malaysia298,Group Joiner - Frank_Malaysia298 - Finished operation
11/02/2022 09:37:04,Frank_Malaysia322,Group Joiner - 'Frank_Malaysia322' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:37:29,Frank_Malaysia289,Group Joiner - Frank_Malaysia289 - Finished operation
11/02/2022 09:37:31,Frank_Malaysia318,Group Joiner - 'Frank_Malaysia318' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:37:52,Frank_Malaysia_345,Group Joiner - Frank_Malaysia_345 - Finished operation
11/02/2022 09:37:53,Frank_Malaysia341,Group Joiner - 'Frank_Malaysia341' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 09:37:57,Frank_Malaysia332,Group Joiner - Frank_Malaysia332 - Finished operation
11/02/2022 09:37:59,Frank_Malaysia321,Group Joiner - 'Frank_Malaysia321' - Executing using 'https://www.facebook.com/groups/460183919270756'
