Date,Account,Status
10/20/2022 01:12:22,,Jarvee 3.3.1.1 is now active
11/02/2022 07:22:59,,Jarvee 3.3.1.1 is now active
11/02/2022 07:27:00,Moeed_Malaysia1,Group Joiner - 'Moeed_Malaysia1' -  is active
11/02/2022 07:27:01,Moeed_Malaysia1,Group Joiner - 'Moeed_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/02/2022 07:27:08,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' -  is active
11/02/2022 07:27:08,Moeed_Malaysia3,Group Joiner - 'Moeed_Malaysia3' -  is active
11/02/2022 07:27:08,Moeed_Malaysia4,Group Joiner - 'Moeed_Malaysia4' -  is active
11/02/2022 07:27:08,Moeed_Malaysia5,Group Joiner - 'Moeed_Malaysia5' -  is active
11/02/2022 07:27:08,Moeed_Malaysia6,Group Joiner - 'Moeed_Malaysia6' -  is active
11/02/2022 07:27:08,Moeed_Malaysia7,Group Joiner - 'Moeed_Malaysia7' -  is active
11/02/2022 07:27:08,Moeed_Malaysia8,Group Joiner - 'Moeed_Malaysia8' -  is active
11/02/2022 07:27:08,Moeed_Malaysia9,Group Joiner - 'Moeed_Malaysia9' -  is active
11/02/2022 07:27:08,Moeed_Malaysia10,Group Joiner - 'Moeed_Malaysia10' -  is active
11/02/2022 07:27:08,Moeed_Malaysia11,Group Joiner - 'Moeed_Malaysia11' -  is active
11/02/2022 07:27:08,Moeed_Malaysia12,Group Joiner - 'Moeed_Malaysia12' -  is active
11/02/2022 07:27:08,Moeed_Malaysia13,Group Joiner - 'Moeed_Malaysia13' -  is active
11/02/2022 07:27:08,Moeed_Malaysia14,Group Joiner - 'Moeed_Malaysia14' -  is active
11/02/2022 07:27:08,Moeed_Malaysia15,Group Joiner - 'Moeed_Malaysia15' -  is active
11/02/2022 07:27:08,Moeed_Malaysia16,Group Joiner - 'Moeed_Malaysia16' -  is active
11/02/2022 07:27:08,Moeed_Malaysia17,Group Joiner - 'Moeed_Malaysia17' -  is active
11/02/2022 07:27:08,Moeed_Malaysia18,Group Joiner - 'Moeed_Malaysia18' -  is active
