Date,Account,Status
09/09/2022 08:11:35,,Jarvee 3.3.1.1 is now active
11/04/2022 00:21:40,,Jarvee 3.3.1.1 is now active
11/04/2022 00:26:58,Hank_Malaysia_141,Group Joiner - 'Hank_Malaysia_141' -  is active
11/04/2022 00:27:02,Hank_Malaysia_141,Group Joiner - 'Hank_Malaysia_141' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:27:05,Hank_Malaysia_142,Group Joiner - 'Hank_Malaysia_142' -  is active
11/04/2022 00:27:05,Hank_Malaysia_143,Group Joiner - 'Hank_Malaysia_143' -  is active
11/04/2022 00:27:05,Hank_Malaysia_144,Group Joiner - 'Hank_Malaysia_144' -  is active
11/04/2022 00:27:05,Hank_Malaysia_145,Group Joiner - 'Hank_Malaysia_145' -  is active
11/04/2022 00:27:05,Hank_Malaysia_147,Group Joiner - 'Hank_Malaysia_147' -  is active
11/04/2022 00:27:05,Hank_Malaysia_148,Group Joiner - 'Hank_Malaysia_148' -  is active
11/04/2022 00:27:05,Hank_Malaysia_149,Group Joiner - 'Hank_Malaysia_149' -  is active
11/04/2022 00:27:05,Hank_Malaysia_150,Group Joiner - 'Hank_Malaysia_150' -  is active
11/04/2022 00:27:05,Hank_Malaysia_151,Group Joiner - 'Hank_Malaysia_151' -  is active
11/04/2022 00:27:05,Hank_Malaysia_152,Group Joiner - 'Hank_Malaysia_152' -  is active
11/04/2022 00:27:05,Hank_Malaysia_153,Group Joiner - 'Hank_Malaysia_153' -  is active
11/04/2022 00:27:05,Hank_Malaysia_154,Group Joiner - 'Hank_Malaysia_154' -  is active
11/04/2022 00:27:05,Hank_Malaysia_155,Group Joiner - 'Hank_Malaysia_155' -  is active
11/04/2022 00:27:05,Hank_Malaysia_156,Group Joiner - 'Hank_Malaysia_156' -  is active
11/04/2022 00:27:05,Hank_Malaysia_157,Group Joiner - 'Hank_Malaysia_157' -  is active
11/04/2022 00:27:05,Hank_Malaysia_158,Group Joiner - 'Hank_Malaysia_158' -  is active
11/04/2022 00:27:05,Hank_Malaysia_159,Group Joiner - 'Hank_Malaysia_159' -  is active
11/04/2022 00:27:05,Hank_Malaysia_160,Group Joiner - 'Hank_Malaysia_160' -  is active
11/04/2022 00:27:05,Hank_Malaysia_161,Group Joiner - 'Hank_Malaysia_161' -  is active
11/04/2022 00:27:05,Hank_Malaysia_162,Group Joiner - 'Hank_Malaysia_162' -  is active
11/04/2022 00:27:05,Hank_Malaysia_163,Group Joiner - 'Hank_Malaysia_163' -  is active
11/04/2022 00:27:05,Hank_Malaysia_164,Group Joiner - 'Hank_Malaysia_164' -  is active
11/04/2022 00:27:05,Hank_Malaysia_165,Group Joiner - 'Hank_Malaysia_165' -  is active
11/04/2022 00:27:05,Hank_Malaysia_166,Group Joiner - 'Hank_Malaysia_166' -  is active
11/04/2022 00:27:05,Hank_Malaysia_167,Group Joiner - 'Hank_Malaysia_167' -  is active
11/04/2022 00:27:05,Hank_Malaysia_168,Group Joiner - 'Hank_Malaysia_168' -  is active
11/04/2022 00:27:05,Hank_Malaysia_169,Group Joiner - 'Hank_Malaysia_169' -  is active
11/04/2022 00:27:05,Hank_Malaysia_170,Group Joiner - 'Hank_Malaysia_170' -  is active
11/04/2022 00:27:05,Hank_Malaysia_171,Group Joiner - 'Hank_Malaysia_171' -  is active
11/04/2022 00:27:05,Hank_Malaysia_172,Group Joiner - 'Hank_Malaysia_172' -  is active
11/04/2022 00:27:05,Hank_Malaysia_173,Group Joiner - 'Hank_Malaysia_173' -  is active
11/04/2022 00:27:05,Hank_Malaysia_174,Group Joiner - 'Hank_Malaysia_174' -  is active
11/04/2022 00:27:05,Hank_Malaysia_175,Group Joiner - 'Hank_Malaysia_175' -  is active
11/04/2022 00:27:05,Hank_Malaysia_176,Group Joiner - 'Hank_Malaysia_176' -  is active
11/04/2022 00:27:05,Hank_Malaysia_177,Group Joiner - 'Hank_Malaysia_177' -  is active
11/04/2022 00:27:05,Hank_Malaysia_178,Group Joiner - 'Hank_Malaysia_178' -  is active
11/04/2022 00:27:05,Hank_Malaysia_179,Group Joiner - 'Hank_Malaysia_179' -  is active
11/04/2022 00:27:05,Hank_Malaysia_180,Group Joiner - 'Hank_Malaysia_180' -  is active
11/04/2022 00:27:05,Hank_Malaysia_181,Group Joiner - 'Hank_Malaysia_181' -  is active
11/04/2022 00:27:05,Hank_Malaysia_183,Group Joiner - 'Hank_Malaysia_183' -  is active
11/04/2022 00:27:05,Hank_Malaysia_184,Group Joiner - 'Hank_Malaysia_184' -  is active
11/04/2022 00:27:05,Hank_Malaysia_185,Group Joiner - 'Hank_Malaysia_185' -  is active
11/04/2022 00:27:05,Hank_Malaysia_186,Group Joiner - 'Hank_Malaysia_186' -  is active
11/04/2022 00:27:05,Hank_Malaysia_187,Group Joiner - 'Hank_Malaysia_187' -  is active
11/04/2022 00:27:05,Hank_Malaysia_188,Group Joiner - 'Hank_Malaysia_188' -  is active
11/04/2022 00:27:05,Hank_Malaysia_189,Group Joiner - 'Hank_Malaysia_189' -  is active
11/04/2022 00:27:05,Hank_Malaysia_190,Group Joiner - 'Hank_Malaysia_190' -  is active
11/04/2022 00:27:05,Hank_Malaysia_191,Group Joiner - 'Hank_Malaysia_191' -  is active
11/04/2022 00:27:05,Hank_Malaysia_192,Group Joiner - 'Hank_Malaysia_192' -  is active
11/04/2022 00:27:05,Hank_Malaysia_193,Group Joiner - 'Hank_Malaysia_193' -  is active
11/04/2022 00:27:05,Hank_Malaysia_194,Group Joiner - 'Hank_Malaysia_194' -  is active
11/04/2022 00:27:05,Hank_Malaysia_195,Group Joiner - 'Hank_Malaysia_195' -  is active
11/04/2022 00:27:05,Hank_Malaysia_196,Group Joiner - 'Hank_Malaysia_196' -  is active
11/04/2022 00:27:05,Hank_Malaysia_197,Group Joiner - 'Hank_Malaysia_197' -  is active
11/04/2022 00:27:05,Hank_Malaysia_198,Group Joiner - 'Hank_Malaysia_198' -  is active
11/04/2022 00:27:05,Hank_Malaysia_199,Group Joiner - 'Hank_Malaysia_199' -  is active
11/04/2022 00:27:05,Hank_Malaysia_200,Group Joiner - 'Hank_Malaysia_200' -  is active
11/04/2022 00:27:05,Hank_Malaysia_201,Group Joiner - 'Hank_Malaysia_201' -  is active
11/04/2022 00:27:05,Hank_Malaysia_202,Group Joiner - 'Hank_Malaysia_202' -  is active
11/04/2022 00:27:05,Hank_Malaysia_203,Group Joiner - 'Hank_Malaysia_203' -  is active
11/04/2022 00:27:05,Hank_Malaysia_204,Group Joiner - 'Hank_Malaysia_204' -  is active
11/04/2022 00:27:05,Hank_Malaysia_205,Group Joiner - 'Hank_Malaysia_205' -  is active
11/04/2022 00:27:05,Hank_Malaysia_206,Group Joiner - 'Hank_Malaysia_206' -  is active
11/04/2022 00:27:05,Hank_Malaysia_207,Group Joiner - 'Hank_Malaysia_207' -  is active
11/04/2022 00:27:05,Hank_Malaysia_208,Group Joiner - 'Hank_Malaysia_208' -  is active
11/04/2022 00:27:05,Hank_Malaysia_209,Group Joiner - 'Hank_Malaysia_209' -  is active
11/04/2022 00:27:05,Hank_Malaysia_210,Group Joiner - 'Hank_Malaysia_210' -  is active
11/04/2022 00:27:05,Hank_Malaysia_182,Group Joiner - 'Hank_Malaysia_182' -  is active
11/04/2022 00:27:05,Hank_Malaysia_146,Group Joiner - 'Hank_Malaysia_146' -  is active
11/04/2022 00:28:11,Hank_Malaysia_141,Group Joiner - Hank_Malaysia_141 - Finished operation
11/04/2022 00:47:14,Hank_Malaysia_147,Group Joiner - 'Hank_Malaysia_147' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:47:17,Hank_Malaysia_196,Group Joiner - 'Hank_Malaysia_196' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:47:17,Hank_Malaysia_179,Group Joiner - 'Hank_Malaysia_179' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:47:17,Hank_Malaysia_172,Group Joiner - 'Hank_Malaysia_172' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:47:17,Hank_Malaysia_192,Group Joiner - 'Hank_Malaysia_192' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:02,Hank_Malaysia_179,Group Joiner - Hank_Malaysia_179 - Finished operation
11/04/2022 00:48:02,Hank_Malaysia_158,Group Joiner - 'Hank_Malaysia_158' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:17,Hank_Malaysia_147,Group Joiner - Hank_Malaysia_147 - Finished operation
11/04/2022 00:48:18,Hank_Malaysia_146,Group Joiner - 'Hank_Malaysia_146' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:20,Hank_Malaysia_196,Group Joiner - Hank_Malaysia_196 - Finished operation
11/04/2022 00:48:21,Hank_Malaysia_169,Group Joiner - 'Hank_Malaysia_169' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:22,Hank_Malaysia_192,Group Joiner - Hank_Malaysia_192 - Finished operation
11/04/2022 00:48:24,Hank_Malaysia_151,Group Joiner - 'Hank_Malaysia_151' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:29,Hank_Malaysia_172,Group Joiner - Hank_Malaysia_172 - Finished operation
11/04/2022 00:48:30,Hank_Malaysia_142,Group Joiner - 'Hank_Malaysia_142' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:48:45,Hank_Malaysia_146,Group Joiner - Error executing for the 'Hank_Malaysia_146' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
11/04/2022 00:48:48,Hank_Malaysia_198,Group Joiner - 'Hank_Malaysia_198' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/04/2022 00:49:01,Hank_Malaysia_158,Group Joiner - Hank_Malaysia_158 - Finished operation
