Date,Account,Status
09/14/2022 08:56:56,,Jarvee 3.3.1.1 is now active
09/14/2022 09:01:55,Reza_Malaysia_642,Change language to English - 'Reza_Malaysia_642' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/14/2022 09:02:29,Reza_Malaysia_642,Change language to English - Error executing for the 'Reza_Malaysia_642' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/14/2022 09:02:31,Reza_Malaysia_642,Synchronizing Pages for the 'Reza_Malaysia_642' account.
09/14/2022 09:03:47,Reza_Malaysia_642,Finalized pages synchronization for the 'Reza_Malaysia_642' account.
09/14/2022 09:03:50,Reza_Malaysia_642,Synchronizing Groups for the 'Reza_Malaysia_642' account.
09/14/2022 09:05:27,Reza_Malaysia_686,Change language to English - 'Reza_Malaysia_686' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/14/2022 09:06:11,Reza_Malaysia_686,Change language to English - Error executing for the 'Reza_Malaysia_686' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/14/2022 09:06:13,Reza_Malaysia_686,Synchronizing Pages for the 'Reza_Malaysia_686' account.
09/14/2022 09:07:28,Reza_Malaysia_686,Finalized pages synchronization for the 'Reza_Malaysia_686' account.
09/14/2022 09:07:29,Reza_Malaysia_686,Synchronizing Groups for the 'Reza_Malaysia_686' account.
09/14/2022 09:09:36,Reza_Malaysia_659,Change language to English - 'Reza_Malaysia_659' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/14/2022 09:10:08,Reza_Malaysia_659,Change language to English - Error executing for the 'Reza_Malaysia_659' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/14/2022 09:10:09,Reza_Malaysia_659,Synchronizing Pages for the 'Reza_Malaysia_659' account.
09/14/2022 09:11:20,Reza_Malaysia_659,Finalized pages synchronization for the 'Reza_Malaysia_659' account.
09/14/2022 09:11:22,Reza_Malaysia_659,Synchronizing Groups for the 'Reza_Malaysia_659' account.
09/14/2022 09:12:47,Reza_Malaysia_659,Synchronizing Events for the 'Reza_Malaysia_659' account.
09/14/2022 09:14:22,Reza_Malaysia_659,Finalized events synchronization for the 'Reza_Malaysia_659' account.
09/14/2022 09:14:24,Reza_Malaysia_659,Birthday Sync - for the 'Reza_Malaysia_659' account URL: https://www.facebook.com/me
09/14/2022 09:15:06,Reza_Malaysia_659,Birthday Sync - Error executing for the 'Reza_Malaysia_659' account. : code  44  - About tag not found URL: https://www.facebook.com/me
09/14/2022 09:15:06,Reza_Malaysia_659,Checking restrictions for the 'Reza_Malaysia_659' account
09/14/2022 09:15:26,Reza_Malaysia_659,Checking restrictions for the 'Reza_Malaysia_659' account done.
09/14/2022 09:15:28,Reza_Malaysia_659,Synchronizing Number of Followers for the 'Reza_Malaysia_659' account
09/14/2022 09:15:58,Reza_Malaysia_659,Finalized Number of Followers synchronization for the 'Reza_Malaysia_659' account.
09/14/2022 09:15:58,Reza_Malaysia_684,Change language to English - 'Reza_Malaysia_684' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
