Date,Account,Status
8/13/2022 0:33,,Jarvee 3.3.1.1 is now active
8/13/2022 6:29,,Jarvee 3.3.1.1 is now active
8/26/2022 3:46,,Jarvee 3.3.1.1 is now active
11/4/2022 23:36,,Jarvee 3.3.1.1 is now active
11/4/2022 23:41,AJ_MAlaysia23,Change language to English - 'AJ_MAlaysia23' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:41,AJ_MAlaysia64,Change language to English - 'AJ_MAlaysia64' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:41,AJ_MAlaysia7,Change language to English - 'AJ_MAlaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:42,AJ_MAlaysia7,Change language to English - Error executing for the 'AJ_MAlaysia7' account. : code  0  - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:42,AJ_MAlaysia7,Synchronizing Pages for the 'AJ_MAlaysia7' account.
11/4/2022 23:43,AJ_MAlaysia17,Change language to English - 'AJ_MAlaysia17' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:43,AJ_MAlaysia40,Change language to English - 'AJ_MAlaysia40' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:43,AJ_MAlaysia40,Change language to English - Error executing for the 'AJ_MAlaysia40' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:43,AJ_MAlaysia40,Synchronizing Groups for the 'AJ_MAlaysia40' account.
11/4/2022 23:43,AJ_MAlaysia17,Change language to English - Error executing for the 'AJ_MAlaysia17' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:43,AJ_MAlaysia17,Synchronizing Groups for the 'AJ_MAlaysia17' account.
11/4/2022 23:44,AJ_MAlaysia7,Finalized pages synchronization for the 'AJ_MAlaysia7' account.
11/4/2022 23:44,AJ_MAlaysia7,Sync Pages Without Url - 'AJ_MAlaysia7' - Executing using 'https://business.facebook.com/creatorstudio?tab=settings_accounts'
11/4/2022 23:44,AJ_MAlaysia64,Change language to English - Error executing for the 'AJ_MAlaysia64' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:44,AJ_MAlaysia23,Change language to English - Error executing for the 'AJ_MAlaysia23' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:44,AJ_MAlaysia23,Synchronizing Groups for the 'AJ_MAlaysia23' account.
11/4/2022 23:44,AJ_MAlaysia64,Birthday Sync - for the 'AJ_MAlaysia64' account URL: https://www.facebook.com/me
11/4/2022 23:44,AJ_MAlaysia7,Sync Pages Without Url - Error executing for the 'AJ_MAlaysia7' account. : code  3  - Not logged in Facebook URL: https://business.facebook.com/creatorstudio?tab=settings_accounts
11/4/2022 23:44,AJ_MAlaysia7,Executing a Login operation for the 'AJ_MAlaysia7' account.
11/4/2022 23:44,AJ_MAlaysia12,Change language to English - 'AJ_MAlaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/4/2022 23:45,AJ_MAlaysia7,The Login operation for the 'AJ_MAlaysia7' account is finalized.
11/4/2022 23:45,AJ_MAlaysia12,Change language to English - Error executing for the 'AJ_MAlaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
11/4/2022 23:45,AJ_MAlaysia12,Birthday Sync - for the 'AJ_MAlaysia12' account URL: https://www.facebook.com/me
11/4/2022 23:45,AJ_MAlaysia7,Executing a Check Login operation for the 'AJ_MAlaysia7' account.
