Date,Account,Status
8/26/2022 1:04,,Jarvee 3.3.1.1 is now active
12/7/2022 4:10,,Jarvee 3.3.1.1 is now active
12/7/2022 4:17,Bala_Malaysia1,Group Joiner - 'Bala_Malaysia1' -  is active
12/7/2022 4:17,Bala_Malaysia1,Group Joiner - 'Bala_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/7/2022 4:17,Bala_Malaysia2,Group Joiner - 'Bala_Malaysia2' -  is active
12/7/2022 4:17,Bala_Malaysia3,Group Joiner - 'Bala_Malaysia3' -  is active
12/7/2022 4:17,Bala_Malaysia4,Group Joiner - 'Bala_Malaysia4' -  is active
12/7/2022 4:17,Bala_Malaysia5,Group Joiner - 'Bala_Malaysia5' -  is active
12/7/2022 4:17,Bala_Malaysia6,Group Joiner - 'Bala_Malaysia6' -  is active
12/7/2022 4:17,Bala_Malaysia7,Group Joiner - 'Bala_Malaysia7' -  is active
12/7/2022 4:17,Bala_Malaysia8,Group Joiner - 'Bala_Malaysia8' -  is active
12/7/2022 4:17,Bala_Malaysia9,Group Joiner - 'Bala_Malaysia9' -  is active
12/7/2022 4:17,Bala_Malaysia10,Group Joiner - 'Bala_Malaysia10' -  is active
12/7/2022 4:17,Bala_Malaysia11,Group Joiner - 'Bala_Malaysia11' -  is active
12/7/2022 4:17,Bala_Malaysia12,Group Joiner - 'Bala_Malaysia12' -  is active
12/7/2022 4:17,Bala_Malaysia13,Group Joiner - 'Bala_Malaysia13' -  is active
12/7/2022 4:17,Bala_Malaysia14,Group Joiner - 'Bala_Malaysia14' -  is active
12/7/2022 4:17,Bala_Malaysia15,Group Joiner - 'Bala_Malaysia15' -  is active
12/7/2022 4:17,Bala_Malaysia16,Group Joiner - 'Bala_Malaysia16' -  is active
12/7/2022 4:17,Bala_Malaysia17,Group Joiner - 'Bala_Malaysia17' -  is active
12/7/2022 4:17,Bala_Malaysia18,Group Joiner - 'Bala_Malaysia18' -  is active
12/7/2022 4:17,Bala_Malaysia19,Group Joiner - 'Bala_Malaysia19' -  is active
12/7/2022 4:17,Bala_Malaysia20,Group Joiner - 'Bala_Malaysia20' -  is active
12/7/2022 4:17,Bala_Malaysia21,Group Joiner - 'Bala_Malaysia21' -  is active
12/7/2022 4:17,Bala_Malaysia22,Group Joiner - 'Bala_Malaysia22' -  is active
12/7/2022 4:17,Bala_Malaysia23,Group Joiner - 'Bala_Malaysia23' -  is active
12/7/2022 4:17,Bala_Malaysia24,Group Joiner - 'Bala_Malaysia24' -  is active
12/7/2022 4:17,Bala_Malaysia25,Group Joiner - 'Bala_Malaysia25' -  is active
12/7/2022 4:17,Bala_Malaysia26,Group Joiner - 'Bala_Malaysia26' -  is active
12/7/2022 4:17,Bala_Malaysia27,Group Joiner - 'Bala_Malaysia27' -  is active
12/7/2022 4:17,Bala_Malaysia28,Group Joiner - 'Bala_Malaysia28' -  is active
12/7/2022 4:17,Bala_Malaysia29,Group Joiner - 'Bala_Malaysia29' -  is active
12/7/2022 4:17,Bala_Malaysia30,Group Joiner - 'Bala_Malaysia30' -  is active
12/7/2022 4:17,Bala_Malaysia31,Group Joiner - 'Bala_Malaysia31' -  is active
12/7/2022 4:17,Bala_Malaysia32,Group Joiner - 'Bala_Malaysia32' -  is active
12/7/2022 4:17,Bala_Malaysia33,Group Joiner - 'Bala_Malaysia33' -  is active
12/7/2022 4:17,Bala_Malaysia34,Group Joiner - 'Bala_Malaysia34' -  is active
12/7/2022 4:17,Bala_Malaysia35,Group Joiner - 'Bala_Malaysia35' -  is active
