Date,Account,Status
9/2/2022 11:21,,Jarvee 3.3.1.1 is now active
12/7/2022 4:31,,Jarvee 3.3.1.1 is now active
12/7/2022 4:34,Hank_Malaysia_01,Group Joiner - 'Hank_Malaysia_01' -  is active
12/7/2022 4:34,Hank_Malaysia_01,Group Joiner - 'Hank_Malaysia_01' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/7/2022 4:34,Hank_Malaysia_02,Group Joiner - 'Hank_Malaysia_02' -  is active
12/7/2022 4:34,Hank_Malaysia_03,Group Joiner - 'Hank_Malaysia_03' -  is active
12/7/2022 4:34,Hank_Malaysia_04,Group Joiner - 'Hank_Malaysia_04' -  is active
12/7/2022 4:34,Hank_Malaysia_05,Group Joiner - 'Hank_Malaysia_05' -  is active
12/7/2022 4:34,Hank_Malaysia_06,Group Joiner - 'Hank_Malaysia_06' -  is active
12/7/2022 4:34,Hank_Malaysia_07,Group Joiner - 'Hank_Malaysia_07' -  is active
12/7/2022 4:34,Hank_Malaysia_08,Group Joiner - 'Hank_Malaysia_08' -  is active
12/7/2022 4:34,Hank_Malaysia_09,Group Joiner - 'Hank_Malaysia_09' -  is active
12/7/2022 4:34,Hank_Malaysia_10,Group Joiner - 'Hank_Malaysia_10' -  is active
12/7/2022 4:34,Hank_Malaysia_11,Group Joiner - 'Hank_Malaysia_11' -  is active
12/7/2022 4:34,Hank_Malaysia_12,Group Joiner - 'Hank_Malaysia_12' -  is active
12/7/2022 4:34,Hank_Malaysia_13,Group Joiner - 'Hank_Malaysia_13' -  is active
12/7/2022 4:34,Hank_Malaysia_14,Group Joiner - 'Hank_Malaysia_14' -  is active
12/7/2022 4:34,Hank_Malaysia_15,Group Joiner - 'Hank_Malaysia_15' -  is active
12/7/2022 4:34,Hank_Malaysia_16,Group Joiner - 'Hank_Malaysia_16' -  is active
12/7/2022 4:34,Hank_Malaysia_17,Group Joiner - 'Hank_Malaysia_17' -  is active
12/7/2022 4:34,Hank_Malaysia_18,Group Joiner - 'Hank_Malaysia_18' -  is active
12/7/2022 4:34,Hank_Malaysia_19,Group Joiner - 'Hank_Malaysia_19' -  is active
12/7/2022 4:34,Hank_Malaysia_20,Group Joiner - 'Hank_Malaysia_20' -  is active
12/7/2022 4:34,Hank_Malaysia_21,Group Joiner - 'Hank_Malaysia_21' -  is active
12/7/2022 4:34,Hank_Malaysia_22,Group Joiner - 'Hank_Malaysia_22' -  is active
12/7/2022 4:34,Hank_Malaysia_24,Group Joiner - 'Hank_Malaysia_24' -  is active
12/7/2022 4:34,Hank_Malaysia_25,Group Joiner - 'Hank_Malaysia_25' -  is active
12/7/2022 4:34,Hank_Malaysia_26,Group Joiner - 'Hank_Malaysia_26' -  is active
12/7/2022 4:34,Hank_Malaysia_27,Group Joiner - 'Hank_Malaysia_27' -  is active
