Date,Account,Status
8/10/2022 2:15,,Jarvee 3.3.1.1 is now active
10/17/2022 7:59,,Jarvee 3.3.1.1 is now active
10/17/2022 8:00,,Jarvee 3.3.1.1 is now active
12/7/2022 4:46,,Jarvee 3.3.1.1 is now active
12/7/2022 4:50,Malaysia1,Group Joiner - 'Malaysia1' -  is active
12/7/2022 4:50,Malaysia1,Group Joiner - 'Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/7/2022 4:50,Malaysia2,Group Joiner - 'Malaysia2' -  is active
12/7/2022 4:50,Malaysia3,Group Joiner - 'Malaysia3' -  is active
12/7/2022 4:50,Malaysia4,Group Joiner - 'Malaysia4' -  is active
12/7/2022 4:50,Malaysia5,Group Joiner - 'Malaysia5' -  is active
12/7/2022 4:50,Malaysia6,Group Joiner - 'Malaysia6' -  is active
12/7/2022 4:50,Malaysia7,Group Joiner - 'Malaysia7' -  is active
12/7/2022 4:50,Malaysia8,Group Joiner - 'Malaysia8' -  is active
12/7/2022 4:50,Malaysia9,Group Joiner - 'Malaysia9' -  is active
12/7/2022 4:50,Malaysia10,Group Joiner - 'Malaysia10' -  is active
12/7/2022 4:50,Malaysia11,Group Joiner - 'Malaysia11' -  is active
12/7/2022 4:50,Malaysia12,Group Joiner - 'Malaysia12' -  is active
12/7/2022 4:50,Malaysia13,Group Joiner - 'Malaysia13' -  is active
12/7/2022 4:50,Malaysia14,Group Joiner - 'Malaysia14' -  is active
12/7/2022 4:50,Malaysia15,Group Joiner - 'Malaysia15' -  is active
12/7/2022 4:50,Malaysia16,Group Joiner - 'Malaysia16' -  is active
12/7/2022 4:50,Malaysia17,Group Joiner - 'Malaysia17' -  is active
12/7/2022 4:50,Malaysia18,Group Joiner - 'Malaysia18' -  is active
12/7/2022 4:50,Malaysia19,Group Joiner - 'Malaysia19' -  is active
12/7/2022 4:50,Malaysia20,Group Joiner - 'Malaysia20' -  is active
12/7/2022 4:50,Malaysia21,Group Joiner - 'Malaysia21' -  is active
12/7/2022 4:50,Malaysia22,Group Joiner - 'Malaysia22' -  is active
12/7/2022 4:50,Malaysia23,Group Joiner - 'Malaysia23' -  is active
12/7/2022 4:50,Malaysia24,Group Joiner - 'Malaysia24' -  is active
